ID_2001,SN_2001,weekly_avg_hrs_cat_3901,weekly_avg_hrs_cat_3902,weekly_avg_hrs_cat_3903,weekly_avg_hrs_cat_3904,weekly_avg_hrs_cat_3905,weekly_avg_hrs_cat_3906,weekly_avg_hrs_cat_3907,weekly_avg_hrs_cat_3908,weekly_avg_hrs_cat_3909,weekly_avg_hrs_cat_3910,weekly_avg_hrs_cat_3911,weekly_avg_hrs_cat_3912,weekly_avg_hrs_cat_3913,weekly_avg_hrs_cat_3914,weekly_avg_hrs_cat_3915,weekly_avg_hrs_cat_3916,weekly_avg_hrs_cat_3917,weekly_avg_hrs_cat_3918,weekly_avg_hrs_cat_3919,weekly_avg_hrs_cat_3920,weekly_avg_hrs_cat_3921,weekly_avg_hrs_cat_3922,weekly_avg_hrs_cat_3923,weekly_avg_hrs_cat_3924,weekly_avg_hrs_cat_3925,weekly_avg_hrs_cat_3926,weekly_avg_hrs_cat_3927,weekly_avg_hrs_cat_3928,weekly_avg_hrs_cat_3929,weekly_avg_hrs_cat_3930,weekly_avg_hrs_cat_3931,weekly_avg_hrs_cat_3932,weekly_avg_hrs_cat_3933,weekly_avg_hrs_cat_3934,weekly_avg_hrs_cat_3935,weekly_avg_hrs_cat_3936,weekly_avg_hrs_cat_3937,weekly_avg_hrs_cat_3938,weekly_avg_hrs_cat_3939,parent_interactive_skill_hrs_wk
3,3,0.0,0.0,1.25,0.0,0.0,0.0,0.0,0.0,86.58333333333333,0.0,0.0,0.0,40.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.916666666666668,0.0,2.0
24,2,0.0,0.0,0.0,0.0,0.0,7.0,6.75,1.75,77.66666666666667,0.0,1.0,0.0,49.166666666666664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,18.5,2.1666666666666665,0.0
24,3,0.0,0.0,0.0,0.5,0.0,0.0,1.6666666666666667,2.9166666666666665,86.08333333333333,1.25,2.3333333333333335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.916666666666668,45.333333333333336,0.0,0.0
29,3,0.0,1.5,0.0,0.0,0.0,0.0,3.75,2.5,65.66666666666667,0.0,0.0,0.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.583333333333336,0.0,0.0
32,3,0.0,11.866666666666667,0.0,0.0,0.0,0.0,1.0,1.6666666666666667,78.45,0.0,0.0,0.0,26.666666666666668,0.0,0.0,2.3333333333333335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6666666666666665,1.0,0.0,0.0,0.0,0.0,0.0,0.8333333333333334,0.0,0.0,6.916666666666667,0.0,10.9,23.233333333333334,0.4666666666666667,0.0
32,4,0.0,11.866666666666667,0.0,1.6666666666666667,0.0,0.0,1.0,0.9333333333333333,72.65,0.0,0.26666666666666666,13.75,17.5,0.0,0.0,2.3333333333333335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9,2.433333333333333,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,9.733333333333333,29.5,0.4666666666666667,0.0
59,3,0.0,5.333333333333333,0.0,0.0,0.0,0.0,1.3333333333333333,0.3333333333333333,85.91666666666667,0.0,3.0833333333333335,0.0,22.083333333333332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5833333333333335,0.0,0.0,0.0,2.5,0.0,0.0,0.0,0.0,1.6666666666666667,0.0,25.333333333333332,14.333333333333334,2.5,1.3333333333333333
60,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94.83333333333333,0.0,1.25,0.0,37.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,4.583333333333333,0.0,0.0,0.0,13.833333333333334,0.0,0.0
60,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92.33333333333333,0.0,1.25,0.0,37.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,11.0,0.0,0.0,15.416666666666666,4.5,0.0,0.0,1.0,0.0,0.0
61,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.58333333333333,0.0,0.0,5.75,33.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7666666666666667,0.0,0.0,0.0,2.0833333333333335,0.0,8.4,17.666666666666668,0.0,1.8333333333333333
65,5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.416666666666667,86.5,0.0,0.0,2.0,44.166666666666664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.916666666666668,0.0,1.5
76,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98.33333333333333,0.0,2.6666666666666665,0.0,32.5,0.0,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,0.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,23.5,2.0,1.0
79,2,0.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,81.01666666666667,0.0,0.0,0.0,42.916666666666664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.2333333333333334,0.0,17.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.25,9.416666666666666,0.0,0.0
91,3,0.0,8.5,0.0,0.6666666666666666,0.0,0.0,0.0,0.0,66.33333333333333,0.0,0.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.5,0.0,20.166666666666668,7.833333333333333,0.0,0.0
91,4,0.0,0.0,0.0,10.833333333333334,0.0,0.0,0.0,5.0,72.33333333333333,0.0,0.0,0.0,35.833333333333336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,1.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,28.5,0.0,0.0
96,3,0.0,22.5,0.0,0.0,0.0,0.0,0.0,0.0,91.83333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1666666666666665,0.0,0.0,0.0,0.0,0.0,12.0,0.0,38.5,0.0,0.0
105,4,0.0,3.5,2.5,0.0,0.0,0.0,0.0,0.0,64.91666666666667,0.0,0.0,0.0,47.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.5,39.083333333333336,0.0,0.0
105,5,0.0,7.166666666666667,0.0,0.0,0.0,0.0,0.0,0.0,85.08333333333333,0.0,2.0,1.5,39.166666666666664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,4.0,0.0,0.0,2.5,0.0,2.5,3.8333333333333335,17.75,0.0,0.0
114,3,0.0,1.6666666666666667,0.0,0.0,0.0,0.0,9.833333333333334,3.25,81.06666666666666,0.0,6.5,0.0,37.916666666666664,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4166666666666667,0.0,0.0,0.0,2.5,6.25,0.0,3.6666666666666665,0.0,0.0,0.0,7.25,7.583333333333333,0.0,0.0
115,3,0.0,0.5,1.5,3.75,0.0,0.0,2.3333333333333335,0.6666666666666666,70.41666666666667,0.0,0.8333333333333334,7.083333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.75,0.0,0.0,0.0,0.0,0.0,4.833333333333333,0.0,0.0,0.0,0.0,19.25,41.083333333333336,0.0,0.0
125,4,0.0,0.9166666666666666,0.0,1.0,0.0,0.0,0.0,3.3333333333333335,83.08333333333333,0.0,0.0,14.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.916666666666668,0.5,0.0
126,5,0.0,2.75,0.0,0.0,0.0,0.0,0.0,0.0,81.41666666666667,0.0,0.0,0.0,43.083333333333336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.833333333333334,0.0,0.0,0.0,0.0,2.1666666666666665,0.0,0.0,0.0,0.0,0.0,11.166666666666666,11.583333333333334,0.0,3.1666666666666665
