CHILD_ID,CHILD_SN,CHILD_UID
9,3,1
9,4,2
14,2,3
14,3,4
15,4,5
15,5,6
16,6,7
16,8,8
18,4,9
18,5,10
21,3,11
21,4,12
26,2,13
26,3,14
28,3,15
28,4,16
31,3,17
31,4,18
34,2,19
36,3,20
36,5,21
37,3,22
37,5,23
38,2,24
39,2,25
39,3,26
40,2,27
40,3,28
44,3,29
45,2,30
45,3,31
46,2,32
46,3,33
47,4,34
54,2,35
54,3,36
56,3,37
57,2,38
57,3,39
60,4,40
61,3,41
61,4,42
66,3,43
68,3,44
71,3,45
71,4,46
74,4,47
76,3,48
76,4,49
78,3,50
78,4,51
79,5,52
83,3,53
83,4,54
85,3,55
85,4,56
92,2,57
95,3,58
95,4,59
97,4,60
98,3,61
98,4,62
104,2,63
111,5,64
117,4,65
118,3,66
120,3,67
127,3,68
127,4,69
128,3,70
130,3,71
134,2,72
136,9,73
136,10,74
137,2,75
137,3,76
140,2,77
142,3,78
142,4,79
144,3,80
144,4,81
145,5,82
146,4,83
147,3,84
147,5,85
148,4,86
148,5,87
150,3,88
151,2,89
162,3,90
162,4,91
163,3,92
168,3,93
168,4,94
169,5,95
179,3,96
188,2,97
188,3,98
189,2,99
189,3,100
191,4,101
191,5,102
194,6,103
196,5,104
196,6,105
199,3,106
199,4,107
207,4,108
207,5,109
210,4,110
210,5,111
211,3,112
226,3,113
226,4,114
227,3,115
228,3,116
228,4,117
235,2,118
235,3,119
248,3,120
248,4,121
250,2,122
250,6,123
251,2,124
254,3,125
254,8,126
255,3,127
255,4,128
257,2,129
261,2,130
266,4,131
274,4,132
274,5,133
276,3,134
276,4,135
277,2,136
277,3,137
280,3,138
281,3,139
285,3,140
285,4,141
291,2,142
293,2,143
297,3,144
299,4,145
301,3,146
301,5,147
302,4,148
303,3,149
305,3,150
305,4,151
306,3,152
306,4,153
307,4,154
307,5,155
308,5,156
313,2,157
313,3,158
314,4,159
314,5,160
315,3,161
315,4,162
323,3,163
323,4,164
328,3,165
329,7,166
329,8,167
331,3,168
334,4,169
335,3,170
336,3,171
337,3,172
342,3,173
342,4,174
344,2,175
344,3,176
358,3,177
362,3,178
362,4,179
365,3,180
365,5,181
367,3,182
367,4,183
368,4,184
369,3,185
383,4,186
384,3,187
384,4,188
389,5,189
389,7,190
391,3,191
394,4,192
394,6,193
397,5,194
399,3,195
406,3,196
406,4,197
409,3,198
409,4,199
417,3,200
417,4,201
421,3,202
421,4,203
426,2,204
426,3,205
428,3,206
428,4,207
430,2,208
432,3,209
434,3,210
434,5,211
440,4,212
441,3,213
441,4,214
442,2,215
443,3,216
443,4,217
446,4,218
446,5,219
451,4,220
451,5,221
455,3,222
457,3,223
457,4,224
459,3,225
459,4,226
461,3,227
461,4,228
468,3,229
471,3,230
472,4,231
472,5,232
474,4,233
475,3,234
475,4,235
480,4,236
487,3,237
487,4,238
488,3,239
497,4,240
499,2,241
499,4,242
514,4,243
514,5,244
516,3,245
516,4,246
521,2,247
521,3,248
524,3,249
531,2,250
531,3,251
536,3,252
536,4,253
539,4,254
539,5,255
547,3,256
549,5,257
550,5,258
553,3,259
555,2,260
556,4,261
561,4,262
561,5,263
567,4,264
567,5,265
573,3,266
573,4,267
575,3,268
575,4,269
576,4,270
578,3,271
578,4,272
582,3,273
582,4,274
584,5,275
587,4,276
587,5,277
590,3,278
602,3,279
603,4,280
605,3,281
606,7,282
606,8,283
612,4,284
612,5,285
613,3,286
613,4,287
615,4,288
617,2,289
617,3,290
619,2,291
623,3,292
626,3,293
627,2,294
627,3,295
631,4,296
632,4,297
632,5,298
633,4,299
636,4,300
636,5,301
637,3,302
637,4,303
643,3,304
650,2,305
650,3,306
651,3,307
652,3,308
652,5,309
655,3,310
655,5,311
657,4,312
659,2,313
660,3,314
665,3,315
666,4,316
669,3,317
670,3,318
672,3,319
674,3,320
674,4,321
676,4,322
676,5,323
677,4,324
677,5,325
680,3,326
680,4,327
681,3,328
681,4,329
687,3,330
687,4,331
690,3,332
693,3,333
695,4,334
695,5,335
702,3,336
702,4,337
705,2,338
705,3,339
707,3,340
707,4,341
709,3,342
709,4,343
713,2,344
713,3,345
714,2,346
714,3,347
715,4,348
715,6,349
719,3,350
722,2,351
722,3,352
724,3,353
725,6,354
731,5,355
732,3,356
732,4,357
735,4,358
738,4,359
740,2,360
742,3,361
742,4,362
745,3,363
746,3,364
746,4,365
747,3,366
748,4,367
748,5,368
749,4,369
749,5,370
750,3,371
750,4,372
752,3,373
752,4,374
756,4,375
758,2,376
758,3,377
759,3,378
759,4,379
764,4,380
765,2,381
766,2,382
766,3,383
767,3,384
768,3,385
769,2,386
769,3,387
770,3,388
773,3,389
773,4,390
774,2,391
777,3,392
777,4,393
779,4,394
781,3,395
781,4,396
785,5,397
785,6,398
786,5,399
786,6,400
787,4,401
787,5,402
788,6,403
789,5,404
789,7,405
793,5,406
793,6,407
795,4,408
795,5,409
797,4,410
800,2,411
801,2,412
802,2,413
803,3,414
803,4,415
805,3,416
810,3,417
811,5,418
811,6,419
812,2,420
820,4,421
827,3,422
828,3,423
829,3,424
829,4,425
832,3,426
832,4,427
833,3,428
838,5,429
839,5,430
849,3,431
850,2,432
851,2,433
851,3,434
854,2,435
859,3,436
860,3,437
860,4,438
862,3,439
862,4,440
864,3,441
864,5,442
866,4,443
866,5,444
870,3,445
875,2,446
878,2,447
879,3,448
880,6,449
882,4,450
885,4,451
885,5,452
888,3,453
892,3,454
892,4,455
901,3,456
903,3,457
903,4,458
905,4,459
