CHLDREL97,CHLDID97,CHLDSN97,Q3AGE,Q3SPAN,Q3A1,Q3A1A,Q3A2,Q3A3,Q3LW1,Q3LW2,Q3LW3,Q3LW4,Q3LW5,Q3LW6,Q3LW7,Q3LW8,Q3LW9,Q3LW10,Q3LW11,Q3LW12,Q3LW13,Q3LW14,Q3LW15,Q3LW16,Q3LW17,Q3LW18,Q3LW19,Q3LW20,Q3LW21,Q3LW22,Q3LW23,Q3LW24,Q3LW25,Q3LW26,Q3LW27,Q3LW28,Q3LW29,Q3LW30,Q3LW31,Q3LW32,Q3LW33,Q3LW34,Q3LW35,Q3LW36,Q3LW37,Q3LW38,Q3LW39,Q3LW40,Q3LW41,Q3LW42,Q3LW43,Q3LW44,Q3LW45,Q3LW46,Q3LW47,Q3LW48,Q3LW49,Q3LW50,Q3LW51,Q3LW52,Q3LW53,Q3LW54,Q3LW55,Q3LW56,Q3LW57,Q3LWRAW,Q3LW_SS,Q3PC1,Q3PC2,Q3PC3,Q3PC4,Q3PC5,Q3PC6,Q3PC7,Q3PC8,Q3PC9,Q3PC10,Q3PC11,Q3PC12,Q3PC13,Q3PC14,Q3PC15,Q3PC16,Q3PC17,Q3PC18,Q3PC19,Q3PC20,Q3PC21,Q3PC22,Q3PC23,Q3PC24,Q3PC25,Q3PC26,Q3PC27,Q3PC28,Q3PC29,Q3PC30,Q3PC31,Q3PC32,Q3PC33,Q3PC34,Q3PC35,Q3PC36,Q3PC37,Q3PC38,Q3PC39,Q3PC40,Q3PC41,Q3PC42,Q3PC43,Q3PCRAW,Q3PC_SS,Q3BRE_SS,Q3CAL1,Q3CAL2,Q3CAL3,Q3CAL4,Q3CAL5,Q3CAL6,Q3CAL7,Q3CAL8,Q3CAL9,Q3CAL10,Q3CAL11,Q3CAL12,Q3CAL13,Q3CAL14,Q3CAL15,Q3CAL16,Q3CAL17,Q3CAL18,Q3CAL19,Q3CAL20,Q3CAL21,Q3CAL22,Q3CAL23,Q3CAL24,Q3CAL25,Q3CAL26,Q3CAL27,Q3CAL28,Q3CAL29,Q3CAL30,Q3CAL31,Q3CAL32,Q3CAL33,Q3CAL34,Q3CAL35,Q3CAL36,Q3CAL37,Q3CAL38,Q3CAL39,Q3CAL40,Q3CAL41,Q3CAL42,Q3CAL43,Q3CAL44,Q3CAL45,Q3CAL46,Q3CAL47,Q3CAL48,Q3CAL49,Q3CAL50,Q3CAL51,Q3CAL52,Q3CAL53,Q3CAL54,Q3CAL55,Q3CAL56,Q3CAL57,Q3CAL58,Q3CALRAW,Q3CAL_SS,Q3AP1,Q3AP2,Q3AP3,Q3AP4,Q3AP5,Q3AP6,Q3AP7,Q3AP8,Q3AP9,Q3AP10,Q3AP11,Q3AP12,Q3AP13,Q3AP14,Q3AP15,Q3AP16,Q3AP17,Q3AP18,Q3AP19,Q3AP20,Q3AP21,Q3AP22,Q3AP23,Q3AP24,Q3AP25,Q3AP26,Q3AP27,Q3AP28,Q3AP29,Q3AP30,Q3AP31,Q3AP32,Q3AP33,Q3AP34,Q3AP35,Q3AP36,Q3AP37,Q3AP38,Q3AP39,Q3AP40,Q3AP41,Q3AP42,Q3AP43,Q3AP44,Q3AP45,Q3AP46,Q3AP47,Q3AP48,Q3AP49,Q3AP50,Q3AP51,Q3AP52,Q3AP53,Q3AP54,Q3AP55,Q3AP56,Q3AP57,Q3AP58,Q3AP59,Q3AP60,Q3APRAW,Q3AP_SS,Q3BMA_SS,Q3B1A,Q3B1B,Q3B2A,Q3B2B,Q3B3A,Q3B3B,Q3B4A,Q3B4B,Q3B5A,Q3B5B,Q3B6A,Q3B6B,Q3B7A,Q3B7B,Q3B8A,Q3B8B,Q3DSFOR,Q3B9A,Q3B9B,Q3B10A,Q3B10B,Q3B11A,Q3B11B,Q3B12A,Q3B12B,Q3B13A,Q3B13B,Q3B14A,Q3B14B,Q3B15A,Q3B15B,Q3DSBACK,Q3DSTOT,Q3C0,Q3C1,Q3C2,Q3C3,Q3C4,Q3C5,Q3C6,Q3C7,Q3C8,Q3C9,Q3C10,Q3C11,Q3C12,Q3C13,Q3C14,Q3C15,Q3C16,Q3C17,Q3C18,Q3C19,Q3C20,Q3C21,Q3C22,Q3C23,Q3C24,Q3C25,Q3C26,Q3C27,Q3C28,Q3D1,Q3D2,Q3D3,Q3E1,Q3E1A,Q3E2,Q3E2A,Q3E2B,Q3E2C,Q3E2D,Q3E2E,Q3E2F,Q3E2G,Q3E2H,Q3E2I,Q3E3,Q3E3A,Q3E3B,Q3E3C,Q3E3D,Q3E3E,Q3E3F,Q3E3G,Q3E3H,Q3E3I,MATH97,READ97,GLBCN97,Q3LWPR,Q3LWW,Q3PCPR,Q3PCW,Q3BRPR,Q3BRW,Q3CALPR,Q3CALW,Q3APPR,Q3APW,Q3BMPR,Q3BMW
4,3854,4,6,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,111,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,114,113,1,1,1,1,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,107,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,103,103,1,1,1,1,1,1,1,0,1,1,0,0,9,9,9,9,9,1,1,1,1,0,0,9,9,9,9,9,9,9,9,4,13,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,79,455,79,467,79,461,69,453,77,472,73,462
4,4246,2,4,0,2,1,2,99,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,82,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,99,999,999,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,99,999,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,81,81,1,1,1,1,1,1,0,0,9,9,9,9,9,9,9,9,6,0,0,9,9,9,9,9,9,9,9,9,9,9,9,0,6,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,1,2,1,0,0,0,0,0,0,0,0,0,1,5,5,5,1,5,5,5,5,5,0,0,0,11,349,999,999,999,999,999,999,16,413,999,999
4,4773,2,12,0,1,0,2,8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,43,91,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,25,95,91,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,84,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,92,92,1,1,1,1,1,1,1,1,0,1,1,0,0,1,0,0,11,1,1,0,1,1,1,1,1,1,0,0,0,9,9,8,19,1,4,1,3,1,4,4,3,4,1,1,4,4,4,4,4,5,4,4,1,1,4,7,4,1,5,1,6,4,2,1,4,1,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2.5999999,3.3,4,32,507,32,503,29,505,14,505,34,508,17,506
4,368,4,12,0,1,0,1,7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,1,0,0,1,0,0,48,105,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,0,1,0,0,1,0,0,0,0,1,0,33,124,117,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,116,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,41,110,110,1,1,1,1,1,1,1,1,1,1,0,1,0,0,9,9,11,1,1,1,1,1,1,1,0,1,0,0,0,9,9,8,19,1,5,4,5,6,5,5,7,7,5,4,7,6,6,5,6,6,7,7,5,6,6,7,7,6,6,7,6,7,2,1,2,1,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5.0999999,5.6999998,6.5,74,524,93,526,89,525,86,535,82,525,90,530
4,6048,5,13,0,1,0,2,8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,46,96,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,33,123,106,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,93,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,42,109,109,1,1,1,1,1,1,1,1,1,0,0,0,9,9,9,9,9,1,1,1,1,0,0,9,9,9,9,9,9,9,9,4,13,1,6,4,4,5,6,6,6,6,4,6,4,5,3,5,5,5,7,6,3,6,6,6,6,6,6,6,6,7,2,1,2,1,3,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4.9000001,4.6999998,6.1300001,45,517,93,526,71,522,32,518,79,528,54,523
4,1111,5,9,0,1,0,2,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,77,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,89,82,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,77,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,94,94,1,1,1,1,1,1,0,0,9,9,9,9,9,9,9,9,6,1,1,0,1,0,0,9,9,9,9,9,9,9,9,3,9,1,4,4,1,4,4,4,1,7,1,1,7,4,4,7,4,4,7,7,7,7,4,7,4,7,7,7,7,7,2,1,5,1,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3.0999999,5.8000002,6.25,7,451,21,471,11,461,6,465,46,490,20,478
4,1111,6,7,0,1,0,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,90,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,99,94,1,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,88,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,99,99,1,1,1,1,0,1,0,0,9,9,9,9,9,9,9,9,5,1,1,1,0,1,0,0,0,9,9,9,9,9,9,4,9,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,5,1,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,26,445,43,467,33,456,20,449,66,479,37,464
4,1114,4,6,0,1,0,1,0,1,1,1,1,1,1,1,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,71,1,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,92,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,57,57,1,1,1,1,0,0,9,9,9,9,9,9,9,9,9,9,4,1,1,0,0,9,9,9,9,9,9,9,9,9,9,2,6,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,390,32,428,12,409,1,384,1,426,0,405
4,1114,6,4,0,2,1,2,99,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,79,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,99,999,999,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,99,999,1,0,0,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,85,85,1,1,1,1,0,0,9,9,9,9,9,9,9,9,9,9,4,0,1,0,0,9,9,9,9,9,9,9,9,9,9,1,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,1,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,8,336,999,999,999,999,999,999,21,403,999,999
4,1910,5,4,0,2,1,2,99,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,88,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,99,999,999,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,99,999,1,1,1,1,1,1,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,99,99,1,1,1,1,1,1,0,0,9,9,9,9,9,9,9,9,6,0,0,9,9,9,9,9,9,9,9,9,9,9,9,0,6,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,1,3,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,21,349,999,999,999,999,999,999,58,426,999,999
