DEMREL97,DEMID97,DEMSN97,CHRACE,CHIWMON,CHIWDAY,CHIWYR,AGEATCH,AGEATPCG,PCGIWMON,PCGIWDAY,PCGIWYR,HOMESCHL,NEWIMMI,PCG,OCG,RELPCG97,RELOCG97,CH97PRWT,CH97HHWT,PCGHHBWT,OCGCHBWT,OCGHHBWT,SUBSELWT,SBLNUM97,BIOPR97,BIOGPR97
6,4773,3,1,0,0,0,0,132.10001,9,19,1997,5,5,1,0,1,0,5.7659998,5.7659998,0,0,0,1,1,2,2
6,5491,2,1,0,0,0,0,123.7,11,20,1997,5,5,1,0,1,0,25.468,25.468,0,0,0,1,0,2,2
6,3854,4,1,5,3,1997,84.599998,84.599998,5,3,1997,5,5,1,1,7,8,19.752001,19.752001,32.437,39.526001,35.529999,1,96,4,1
6,4246,2,1,5,3,1997,60.400002,60.400002,5,3,1997,5,5,1,1,1,99,20.954,20.954,36.383999,35.966999,38.847,1,1,2,2
6,4246,3,1,0,0,0,0,13.1,5,3,1997,5,5,1,1,1,99,20.954,20.954,36.383999,35.966999,38.847,1,1,2,2
6,5490,3,1,0,0,0,0,19.5,11,7,1997,5,5,1,1,1,0,15.925,15.925,0,0,0,1,0,1,2
6,4773,2,1,9,21,1997,160.39999,160.39999,9,19,1997,5,5,1,0,1,0,5.7659998,5.7659998,0,0,0,1,1,2,2
6,3853,3,1,0,0,0,0,119.5,10,2,1997,5,5,1,1,1,0,9.9659996,9.9659996,0,0,0,1,0,1,2
6,368,4,1,4,10,1997,151.8,151.8,4,10,1997,5,5,1,1,1,4,23.27,23.27,34.798,39.916,40.353001,1,1,1,2
6,3633,5,1,0,0,0,0,29.9,6,19,1997,5,5,1,1,1,4,13.594,13.594,22.323999,27.202,24.452,1,2,1,2
6,6048,5,1,10,20,1997,162,162,10,20,1997,5,5,1,1,1,0,16.131001,16.131001,0,0,0,1,2,1,2
6,1111,5,1,4,16,1997,114,114,4,16,1997,5,5,1,1,1,4,18.173,12.116,30.747,30.986,36.001999,1.5,4,1,2
6,1111,6,1,4,16,1997,94.5,94.5,4,16,1997,5,5,1,1,1,4,18.173,12.116,30.747,30.986,36.001999,1.5,4,1,2
6,1114,4,1,3,21,1997,81.599998,81.599998,3,21,1997,5,5,1,2,1,7,33.646,22.431,56.924,57.367001,66.653,1.5,2,2,1
6,1114,6,1,3,21,1997,54.200001,54.200001,3,21,1997,5,5,1,2,1,7,33.646,22.431,56.924,57.367001,66.653,1.5,2,2,1
6,1910,5,1,6,14,1997,54.400002,54.400002,6,14,1997,5,5,1,1,1,4,17.875,17.875,27.15,32.542999,35.630001,1,0,1,1
6,5107,2,1,10,15,1997,48.099998,48.099998,10,15,1997,5,5,1,0,1,0,12.121,8.0810003,0,0,0,1.5,2,2,2
6,5107,4,1,0,0,0,0,25.5,10,15,1997,5,5,1,0,1,0,12.121,8.0810003,0,0,0,1.5,2,2,2
6,6041,2,2,9,22,1997,89.900002,89.900002,9,22,1997,5,5,1,0,1,0,1.831,1.831,3.9519999,0,0,1,0,2,0
6,1336,4,2,4,23,1997,79.300003,79.300003,4,23,1997,5,5,1,1,1,0,7.0939999,4.73,0,0,0,1.5,2,1,2
6,1336,5,2,4,23,1997,57.700001,57.700001,4,23,1997,5,5,1,1,1,0,7.0939999,4.73,0,0,0,1.5,2,1,2
6,1179,3,1,5,17,1997,142.3,142.3,5,17,1997,5,5,1,1,1,0,34.094002,34.094002,48.154999,0,0,1,1,1,2
6,1179,4,1,5,17,1997,110.4,110,5,5,1997,5,5,1,1,1,0,34.094002,34.094002,48.154999,0,0,1,1,1,2
6,681,3,1,5,16,1997,59.5,59.5,5,16,1997,5,5,1,1,1,0,38.138,38.138,0,0,0,1,1,1,2
6,681,4,1,0,0,0,0,31.1,5,16,1997,5,5,1,1,1,0,38.138,38.138,0,0,0,1,1,1,2
6,1721,3,7,0,0,0,0,40.900002,9,12,1997,5,5,1,1,1,4,13.551,13.551,19.059999,20.966,23.135,1,0,1,2
6,690,3,1,3,27,1997,135.39999,135.39999,3,27,1997,5,5,1,1,1,10,9.1929998,9.1929998,12.93,14.223,15.695,1,96,2,2
6,687,3,1,0,0,0,0,33.299999,3,20,1997,5,5,1,1,1,4,7.7459998,7.7459998,10.917,12.549,12.957,1,1,1,2
6,687,4,1,0,0,0,0,33.299999,3,20,1997,5,5,1,1,1,4,7.7459998,7.7459998,10.917,12.549,12.957,1,1,1,2
6,4261,4,1,0,0,0,0,22.9,10,8,1997,5,5,1,1,1,0,5.1490002,5.1490002,0,0,0,1,1,1,2
6,1487,4,1,5,17,1997,154.2,153.39999,4,24,1997,5,5,1,1,17,18,27.754999,27.754999,31.752001,33.208,33.208,1,0,4,0
6,1487,6,1,0,0,0,0,34.299999,4,24,1997,5,5,1,1,3,0,27.754999,27.754999,31.752001,0,0,1,0,4,0
6,5256,3,1,10,11,1997,999.90002,999.90002,10,6,1997,5,5,1,3,1,10,26.695999,26.695999,37.547001,41.300999,45.575001,1,1,2,0
6,5256,4,1,10,11,1997,999.90002,999.90002,10,6,1997,5,5,1,3,1,10,26.695999,26.695999,37.547001,41.300999,45.575001,1,1,2,0
6,3651,3,2,3,31,1997,101.5,103.5,5,31,1997,5,5,1,1,1,4,4.7080002,4.7080002,7.9050002,12.943,13.307,1,0,1,2
6,3649,2,2,0,0,0,0,97.5,12,2,1997,5,5,1,0,1,0,1.479,1.479,0,0,0,1,96,2,2
6,5098,3,2,5,29,1997,68.099998,68.099998,5,29,1997,5,5,1,1,1,4,5.0089998,5.0089998,10.81,15.86,17.195,1,96,1,2
6,1293,3,1,0,0,0,0,29.4,9,30,1997,5,5,1,1,1,4,18.476,18.476,31.688999,32.291,32.658001,1,0,1,2
6,3434,3,1,4,17,1997,135.3,135.3,4,17,1997,5,5,2,2,4,99,8.0609999,8.0609999,13.638,13.744,15.969,1,1,3,0
