EMSTRL97,EMSTID97,EMSTSN97,Q9A1M,Q9A1D,Q9A1Y,Q9A2,Q9A3,Q9A4,Q9A5A,Q9A5B,Q9A5C,Q9A5D,Q9A5E,Q9A5F,Q9A5G,Q9A5H,Q9A6A,Q9A6B,Q9A6C,Q9A6D,Q9A6E,Q9A6F,Q9A6G,Q9A6H,Q9A6I,Q9A6J,Q9A6K,Q9A6L,Q9A6M,Q9A6N,Q9A6O,Q9A6P,Q9A6Q,Q9A6R,Q9A6S,Q9A6T,Q9A6U,Q9A6V,Q9A6W,Q9A6X,Q9A6Y,Q9A6Z,Q9A6AA,Q9A6BB,Q9A6CC,Q9A6DD,Q9A6EE,Q9A6FF,Q9A6GG,Q9A6HH,Q9A6II,Q9A7,Q9A8,Q9A9,Q9A10,Q9A11,Q9A11AA,Q9A11AB,Q9A11AC,Q9A11AD,Q9A11AE,Q9A11AF,Q9A11AG,Q9A11AH,Q9A11AI,Q9A11AJ,Q9A11AK,Q9A11AL,Q9A11AM,Q9A11AN,Q9A12,Q9A13,Q9A14,Q9A15,Q9A16,Q9A17,Q9A18,Q9A19,Q9A19B,Q9A20A,Q9A20B,Q9A20C,Q9A20D,Q9A20E,Q9A20F,Q9A20G,Q9A20H,Q9A20I,Q9A20J,Q9A20K,Q9A21,Q9A22,Q9A23A,Q9A23B,Q9A23C,Q9A23D,Q9A23E,Q9A23F,Q9A23G,Q9A23H,Q9A24,Q9A24A,Q9A25A,Q9A25B,Q9A25C,Q9A25D,Q9A25E,Q9A25F,Q9A25G,Q9A26,Q9A26A,Q9A27,Q9A27A,Q9A27B,Q9A27C,Q9A27D,Q9A27E,Q9A28,Q9A29,Q9A29B,Q9A29C,Q9A29DH,Q9A29DM,Q9A29E,Q9A30,Q9A30A,Q9A30B,Q9A30C,Q9A30D,Q9A30E,Q9A31,Q9A32,Q9A32B,Q9A32C,Q9A32DH,Q9A32DM,Q9A32E,Q9B1,Q9B2A,Q9B2B,Q9B2C,Q9B2D,Q9B2E,Q9B3A,Q9B3B,Q9B3C,Q9B3D,Q9B3E,Q9B3F,Q9B4,Q9B5,Q9B5A,Q9B6,Q9B7,Q9B7A,Q9B8,Q9B9,Q9B10,Q9B11A,Q9B11B,Q9B11C,Q9B11D,Q9B11E,Q9B11F,Q9B11G,Q9B11H,Q9B11I,Q9B11J,Q9B11K,Q9B12,Q9B13A,Q9B13B,Q9B13C,Q9B13D,Q9C1,Q9C2Y,Q9C2M,Q9C3,Q9C4A,Q9C4B,Q9C4C,Q9C4D,Q9C4E,Q9C4F,Q9C4G,Q9C5,Q9C6,Q9C7,Q9C8,Q9C9,Q9C10,Q9C11,Q9C12,Q9C12A,Q9C13A,Q9C13B,Q9C13C,Q9C14,Q9C15,Q9C16A,Q9C16B,Q9C16C,Q9C17A,Q9C17B,Q9C17C,Q9D1M,Q9D1D,Q9D1Y,Q9D2,Q9D3H,Q9D3M,Q9D4,Q9D5,Q9D6_1,Q9D6_1B,Q9D6_1E,Q9D6_2,Q9D6_2B,Q9D6_2E,Q9D6_3,Q9D6_3B,Q9D6_3E,Q9D6_4,Q9D6_4B,Q9D6_4E,Q9D6_5,Q9D6_5B,Q9D6_5E,Q9D7,Q9D8,Q9D9_1,Q9D9_1B,Q9D9_1E,Q9D9_2,Q9D9_2B,Q9D9_2E,Q9D9_3,Q9D9_3B,Q9D9_3E,Q9D9_4,Q9D9_4B,Q9D9_4E,Q9D9_5,Q9D9_5B,Q9D9_5E,Q9D10,Q9D11,Q9D12_1,Q9D12_1B,Q9D12_1E,Q9D12_2,Q9D12_2B,Q9D12_2E,Q9D12_3,Q9D12_3B,Q9D12_3E,Q9D12_4,Q9D12_4B,Q9D12_4E,Q9D13
3,3854,4,5,12,1997,4,1,3,4,4,3,4,3,3,3,4,2,3,3,2,2,3,3,3,2,2,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,2,2,2,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,5,2,1,5,5,5,0,5,5,5,5,5,5,1,5,5,5,5,0,1,2,1,2,2,2,1,3,2,5,0,1,1,1,1,1,1,1,2,9,2,5,3,1,2,1,1,1,1,1,0,20,1,1,0,0,0,0,0,1,1,1,5,0,0,0,20,1,0,0,0,0,20,0,0,0,0,0,3,5,0,9,5,0,0,5,4,1,3,1,1,2,2,3,1,1,1,3,5,1,1,1,2,3,3,0,6,5,1,5,5,5,5,5,2,6,2,1970,5,2,2,1,1,5,5,5,22000,1,2,1,1,2,5,1,5,13,1997,2,0,22,26100,28800,1,26100,27000,6,27000,28200,2,28200,28800,0,0,0,0,0,0,55800,1,1,55800,56700,5,56700,57600,0,0,0,0,0,0,0,0,0,57600,1,2,72000,75600,0,0,0,0,0,0,0,0,0,1
3,3853,3,10,20,1997,7,1,1,3,3,3,3,4,3,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,1,1,6,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,5,2,2,5,5,5,0,5,5,5,5,5,5,5,5,5,5,5,3,1,1,8,3,2,9,8,3,8,5,0,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,1,1,1,1,0,30,5,1,0,0,0,0,0,1,1,1,1,0,30,5,23,1,1,1,1,0,19,4,0,0,0,0,10,5,0,7,1,2,5,5,2,1,1,1,1,1,1,1,1,1,4,4,4,1,1,1,1,4,4,2,6,5,1,5,5,5,5,5,2,1,7,1970,5,2,2,5,0,5,1,1,99999,6,1,1,1,2,5,1,10,20,1997,1,0,20,25800,28800,1,25800,26400,7,26400,27000,3,27000,27900,10,27900,99999,0,0,0,54900,1,5,54900,55800,2,55800,57600,6,57600,61200,0,0,0,0,0,0,61200,5,0,0,0,0,0,0,0,0,0,0,0,0,1
3,6048,5,10,20,1997,11,1,4,5,4,4,5,5,3,4,4,2,3,2,3,1,3,3,3,3,2,3,3,2,2,3,3,2,2,3,2,3,3,2,3,2,3,3,3,3,1,2,3,3,3,2,2,2,2,7,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,5,2,1,8,5,8,0,5,5,5,5,5,5,1,5,5,1,9,0,0,2,8,1,8,1,8,8,8,8,0,1,1,1,1,1,1,1,8,6,1,0,0,0,0,0,1,1,1,5,0,0,0,1,0,0,0,0,0,1,1,1,1,0,25,5,26,1,0,0,0,0,26,0,0,0,0,0,1,5,0,2,5,0,4,5,3,1,1,1,4,4,1,3,1,1,4,4,2,2,1,2,3,7,2,2,6,9,9,9,1,9,9,9,1,1,2,1949,5,2,2,5,0,5,5,1,31916,1,1,1,1,2,5,1,99,99,9999,9,9,99,99999,99999,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99999,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99999,9,0,0,0,0,0,0,0,0,0,0,0,0,9
3,1111,5,4,23,1997,9,1,2,2,2,1,2,3,2,3,3,3,3,2,3,3,3,1,2,3,3,3,2,2,3,3,3,2,3,3,2,3,3,3,3,3,2,3,2,3,2,3,2,2,2,3,2,2,2,2,1,9,9,9,9,9,9,9,9,9,9,9,9,1,9,8,5,5,3,3,5,5,5,0,5,5,5,5,5,5,5,5,5,5,1,4,.5,2,8,8,2,1,8,1,1,1,1,1,2,9,9,1,1,9,2,2,1,0,0,0,0,0,5,0,0,0,0,0,0,1,0,0,0,0,0,1,1,5,1,9,99,9,22,1,1,0,0,0,18,3,1,99,99,9,2,5,0,2,1,2,2,1,1,1,1,1,1,1,1,2,3,2,2,3,2,2,2,3,2,8,16,8,7,9,1,9,9,9,9,9,2,1,2,1940,5,2,2,1,5,5,1,1,40000,1,1,1,1,1,3,1,4,22,1997,2,9,20,27900,30600,1,27900,28200,5,28200,28800,2,28800,29400,3,29400,30600,10,30600,30720,53100,1,10,53100,55200,1,55200,56400,6,56400,58200,2,58200,58800,0,0,0,58800,5,0,0,0,0,0,0,0,0,0,0,0,0,1
3,1111,6,99,99,9999,5,1,3,4,3,3,4,3,3,3,3,2,3,2,3,3,3,1,2,3,3,3,3,2,3,3,2,1,3,3,2,3,3,2,3,2,3,3,3,3,1,2,2,2,3,3,3,2,3,2,1,5,5,5,5,5,5,5,5,5,5,5,5,1,5,5,5,5,2,2,5,5,5,0,5,5,5,5,5,5,5,5,8,5,8,4,0,2,8,2,2,2,2,3,2,5,0,1,1,2,1,1,1,1,2,1,2,5,2,1,3,2,5,0,0,0,0,0,0,1,0,0,0,0,0,9,0,0,0,0,0,0,21,2,0,0,0,0,18,3,0,0,0,0,0,5,0,2,5,0,2,5,2,1,2,2,1,2,2,2,1,1,2,3,2,2,2,2,2,7,13,8,7,5,1,5,5,5,5,5,2,1,2,1941,5,2,2,1,3,5,1,1,40000,5,1,1,1,2,5,3,4,18,1997,5,0,5,27000,30600,1,27000,27600,2,27600,27900,3,27900,28800,5,28800,29700,9,29700,30600,52800,1,9,52800,53400,5,53400,54600,3,54600,55800,4,55800,57600,0,0,0,57600,5,0,0,0,0,0,0,0,0,0,0,0,0,1
3,1114,4,4,24,1997,2,1,3,2,2,1,2,3,2,2,3,3,3,3,3,3,3,2,2,3,3,3,3,3,2,3,3,3,3,3,2,3,3,3,3,3,2,3,3,2,3,3,3,2,3,3,3,2,3,2,1,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,3,5,5,1,7,5,5,1,5,5,5,1,5,5,1,9,0,5,2,2,3,2,1,2,1,1,5,0,1,1,2,2,1,1,1,1,0,1,0,0,0,0,0,1,5,0,0,0,0,0,1,0,0,0,0,0,9,0,0,0,0,0,0,25,1,0,0,1,0,19,6,0,0,0,0,0,5,0,9,5,0,1,5,3,1,1,1,1,1,2,2,1,1,1,2,4,1,1,2,1,3,3,8,6,1,1,1,5,5,5,5,2,1,2,1964,5,3,3,1,5,1,1,1,24000,7,1,3,1,4,4,4,4,24,1997,4,0,3,28500,33300,8,29100,32400,4,32400,32700,9,32700,33300,0,0,0,0,0,0,54900,1,10,54900,55500,1,55500,56100,2,56100,56700,3,56700,57000,5,57000,57300,57600,5,0,0,0,0,0,0,0,0,0,0,0,0,5
3,6041,2,9,26,1997,5,1,1,3,3,2,3,3,2,3,2,3,3,3,3,3,3,1,1,3,2,3,3,2,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,2,3,2,2,2,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,5,2,2,5,5,5,0,8,8,8,8,8,8,8,8,8,8,8,99,99,3,8,3,3,3,2,2,2,1,2,1,1,1,1,1,1,1,3,3,2,5,5,1,2,1,1,1,1,1,9,99,1,1,0,0,0,0,0,1,1,1,1,9,99,1,19,1,0,0,1,0,5,6,8,0,0,0,99,1,2,1,5,0,2,1,2,3,1,2,3,2,1,1,1,1,1,2,5,1,1,1,2,4,1,10,6,5,5,5,1,5,5,5,2,3,2,1950,1,2,5,1,4,5,1,1,25800,3,3,3,3,2,4,2,9,26,1997,5,0,25,27900,30600,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99999,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99999,9,0,0,0,0,0,0,0,0,0,0,0,0,9
3,1336,4,5,2,1997,4,1,3,4,3,3,4,4,3,4,4,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,1,1,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,5,2,2,5,5,5,0,5,5,5,5,5,5,5,5,5,5,5,0,0,2,1,3,2,1,1,1,1,5,0,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,1,1,1,1,0,20,5,1,0,0,0,0,0,1,1,1,1,0,10,5,22,1,0,1,0,0,11,11,0,0,0,0,5,5,0,1,5,0,1,1,3,4,3,3,4,2,3,3,2,2,2,4,4,1,2,2,2,4,9,0,6,1,1,5,5,5,5,5,9,9,9,9999,9,9,3,1,4,5,5,1,24000,5,1,1,1,1,2,4,5,1,1997,4,0,30,27900,27900,5,27900,28800,2,28800,29700,0,0,0,0,0,0,0,0,0,53100,1,5,54000,54900,8,54000,57600,0,0,0,0,0,0,0,0,0,57600,5,0,0,0,0,0,0,0,0,0,0,0,0,1
3,690,3,4,8,1997,8,1,2,2,5,4,4,4,3,4,5,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,2,2,3,2,3,3,3,3,3,3,3,3,3,3,3,3,1,2,1,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,5,2,2,8,5,8,0,5,8,5,5,5,5,8,5,5,5,9,0,0,2,1,1,1,1,1,1,1,5,0,2,2,2,1,1,1,2,3,6,2,1,3,1,2,2,5,0,0,0,0,0,0,2,1,3,1,2,2,5,0,0,0,0,0,0,30,1,0,0,0,0,17,2,7,1,3,0,5,5,0,7,5,0,0,1,2,3,2,4,2,2,2,3,1,2,1,1,4,2,2,3,1,3,0,8,6,1,1,1,1,5,5,1,2,1,1,1959,5,4,5,1,2,5,1,1,26000,5,4,4,1,2,5,1,4,8,1997,2,0,15,30300,32100,3,30600,31800,7,31800,32100,0,0,0,0,0,0,0,0,0,54000,1,10,54000,55500,9,55500,59100,9,59100,61500,3,61500,69300,7,69300,72600,75600,1,6,57600,67500,2,70200,73800,0,0,0,0,0,0,1
3,1487,4,5,21,1997,9,1,3,3,3,3,3,2,2,3,3,3,3,3,2,3,2,3,3,3,2,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,1,2,3,3,3,2,2,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,5,2,3,5,5,5,0,5,5,5,5,5,5,5,8,8,8,5,0,1,2,1,1,1,1,1,1,2,5,0,1,2,1,1,1,1,1,1,0,2,1,6,1,1,2,1,1,5,1,0,30,5,2,5,4,1,3,1,1,1,5,1,0,30,5,19,1,0,0,1,0,18,0,0,1,0,0,0,5,0,1,5,0,8,5,1,1,4,1,1,1,1,1,1,1,1,1,4,1,1,2,2,5,8,8,6,5,1,5,5,5,5,5,2,1,2,1949,5,3,4,1,4,1,1,1,42000,1,4,1,1,2,2,3,5,21,1997,3,0,15,26100,30300,10,26100,27900,6,27900,28800,3,28800,29700,5,29700,30300,0,0,0,53100,1,6,53100,55800,0,0,0,0,0,0,0,0,0,0,0,0,55800,5,0,0,0,0,0,0,0,0,0,0,0,0,1
