ESDREL97,ESDID97,ESDSN97,Q9DAY,Q9CA,Q9CB,Q9CC,Q9CD01,Q9CD02,Q9CD03,Q9CD04,Q9CD05,Q9CD06,Q9CD07,Q9CD08,Q9CD09,Q9CD10,Q9CE01,Q9CE02,Q9CE03,Q9CE04,Q9CE05,Q9CE06,Q9CE07,Q9CE08,Q9CE09,Q9CE10,Q9CE11,Q9CE12,Q9CE13,Q9CF,Q9CG01,Q9CG02,Q9CG03,Q9CG04,Q9CG05,Q9CG06,Q9CG07,Q9CG08,Q9CH01,Q9CH02,Q9CH03,Q9CH04,Q9CI01,Q9CI02,Q9CI03,Q9CI04,Q9CI05,Q9CI06,Q9CI07,Q9CI08,Q9CI09,Q9CI10,Q9CI11,Q9CI12,Q9CI13,Q9CI14,Q9CJ01,Q9CJ02,Q9CJ03,Q9CJ04,Q9CJ05,Q9CJ06,Q9CJ07,Q9CJ08,Q9CJ09,Q9CJ10,Q9CJ11,Q9CJ12,Q9CJ13,Q9CJ14,Q9CJ15,Q9CJ16,Q9CJ17,Q9CJ18,Q9CK01,Q9CK02,Q9CK03,Q9CK04,Q9CK05,Q9CK06
2,3854,4,2,50,28800,29700,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2,3854,4,2,99,29700,30600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,3854,4,2,10,30600,32400,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,99,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2,3854,4,2,10,32400,34200,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,99,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2,3854,4,2,20,34200,36000,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,99,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2,3854,4,2,10,36000,37800,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,99,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2,3854,4,2,10,37800,38700,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,99,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2,3854,4,2,50,38700,39720,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,99,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2,3854,4,2,50,39720,41940,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5,99,0,0,0,0,0,0,0,99,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2,3854,4,2,50,41940,43200,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,99,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
