FOHCRL97,FOHCID97,FOHCSN97,Q7A0,Q7A1,Q7A2,Q7A3M,Q7A3Y,Q7A4M,Q7A4Y,Q7A5,Q7A6,Q7A7,Q7A8,Q7A9A,Q7A9B,Q7A9C,Q7A9D,Q7A9E,Q7A9F,Q7A9G,Q7A9H,Q7A9I,Q7A9J,Q7A10A,Q7A10B,Q7A10C,Q7A10D,Q7A10E,Q7A10F,Q7A11A,Q7A11B,Q7A11C,Q7A11D,Q7A11E,Q7A12,Q7B0,Q7B0T,Q7B1A,Q7B1B,Q7B1C,Q7B1D,Q7B1E,Q7B2A,Q7B2B,Q7B2C,Q7B2D,Q7B2E,Q7B2F,Q7B2G,Q7B2H,Q7B2I,Q7B2J,Q7B3A,Q7B3B,Q7B3C,Q7B3D,Q7B4,Q7B5A,Q7B5B,Q7B5C,Q7B5D,Q7B5E,Q7B5F,Q7B6A,Q7B6B,Q7B6C,Q7B6D,Q7B6E,Q7B6F,Q7B6G,Q7B6H,Q7B6I,Q7B6J,Q7B6K,Q7B6L,Q7B6M,Q7B7,Q7B7T,Q7B8A,Q7B8B,Q7B8C,Q7B8D,Q7B8E,Q7B8F,Q7B8G,Q7B8H,Q7B8I,Q7B8J,Q7B8K,Q7B8L,Q7B8M,Q7B8N,Q7B8O,Q7B8P,Q7B8Q,Q7B8R,Q7B8S,Q7B8T,Q7B8U,Q7B8V,Q7B8W,Q7B8X,Q7B8Y,Q7B8Z,Q7B8AA,Q7B8BB,Q7B8CC,Q7B8DD,Q7B9A,Q7B9B,Q7B9C,Q7B9D,Q7B9E,Q7B9F,Q7B9G,Q7B9H,Q7B9I,Q7B9J,Q7B10,Q7B11A,Q7B11B,Q7B11C,Q7B11D,Q7B12A,Q7B12B,Q7B12C,Q7B12D,Q7B12E,Q7B12F,Q7B12G,Q7B12H,Q7B12I,Q7B12J,Q7B12K,Q7B13A,Q7B13B,Q7B13C,Q7B13D,Q7B13E,Q7B13F,Q7B13G,Q7B13H,Q7B13I,Q7B14A,Q7B14B,Q7B14C,Q7B15A,Q7B15B,Q7B16A,Q7B16B,Q7B16C,Q7B16D,Q7B16E,Q7B16F,Q7B16G,Q7B16H,Q7B17,Q7B18,Q7B19,Q7B20
3,690,3,74340,7,7,11,1995,3,1997,2,45,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,1,1,1,6,2,99999,5,5,5,1,5,5,5,5,5,5,1,5,5,1,5,4,1,4,3,1,3,3,1,2,2,2,1,1,2,1,2,1,1,2,1,1,2,1,1,1,99999,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,2,1,5,5,5,5,5,5,3,3,5,5,1,1,1,5,5,1,3,1,1,1,1,1,3,1,1,1,1,3,1,1,1,1,1,1,1,4,4,4,3,3,1,1,1,1,2,2,2,1,3,1,1,75360
3,5300,4,59700,900,3,10,1991,8,1997,3,999,2,1,1,1,1,4,1,1,4,2,4,1,1,5,1,1,1,5,1,4,1,1,1,2,2,99999,5,5,5,1,5,1,1,1,1,5,1,1,5,1,5,3,3,3,1,1,5,5,5,5,5,5,3,3,2,3,3,3,2,5,3,2,4,1,2,1,99999,3,3,3,3,2,3,2,3,3,2,3,3,3,2,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,5,5,5,5,5,5,5,5,5,5,1,1,5,5,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,2,1,1,1,1,1,2,3,10,5,1,60720
3,1837,3,61560,450,1,10,1994,3,1997,2,40,2,2,1,2,2,3,3,3,4,1,1,1,1,5,5,5,5,5,1,1,1,1,1,6,2,99999,5,5,5,1,5,1,5,5,5,5,1,5,5,1,1,3,2,3,3,1,2,4,2,2,3,3,1,1,2,2,3,2,2,1,2,2,2,1,1,1,99999,3,3,3,2,3,2,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,2,3,5,4,5,5,4,5,5,5,5,5,1,5,5,5,5,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,0,0,1,3,4,4,4,3,3,1,1,1,1,2,1,2,1,3,5,1,62700
3,1837,4,62700,450,2,10,1994,3,1997,2,40,2,2,1,2,3,3,3,3,4,1,1,1,1,5,5,5,5,5,1,1,1,1,1,6,2,99999,5,5,5,1,5,1,5,5,5,5,1,5,5,1,1,3,1,3,2,1,2,3,2,2,3,3,1,1,2,2,2,2,2,1,2,2,2,1,1,1,99999,3,3,3,2,3,2,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,2,3,3,3,3,3,2,3,5,5,5,5,5,5,5,5,5,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,5,1,63840
3,4499,2,64920,24,1,7,1992,4,1997,1,150,2,1,4,4,2,2,4,4,4,4,1,4,1,1,1,5,5,5,2,2,1,1,1,6,2,99999,5,5,5,1,5,1,1,5,5,5,1,5,5,5,5,6,1,6,6,1,4,4,4,4,4,4,1,1,3,4,3,1,2,3,1,2,4,1,1,1,99999,1,1,3,1,3,1,3,3,2,2,1,3,2,3,3,3,3,1,1,3,3,3,2,2,2,1,3,3,2,3,5,3,5,4,3,4,3,4,5,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,1,2,1,1,1,2,1,1,66300
3,1778,3,71400,15,7,8,1994,10,1997,2,72,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,6,2,99999,5,5,5,1,5,5,5,5,5,5,5,5,5,1,5,5,1,5,4,1,4,4,3,3,3,3,2,3,2,3,3,3,3,2,3,2,3,2,1,1,99999,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,5,5,5,5,5,5,5,3,5,5,1,5,5,1,5,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,4,4,4,3,3,1,1,1,2,2,2,2,2,6,2,2,72120
3,1778,4,72120,15,7,8,1994,10,1997,9,72,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,6,2,99999,5,5,5,1,5,5,5,5,5,5,5,5,5,1,5,5,1,5,4,1,4,4,3,3,3,3,2,3,2,3,3,3,3,2,3,2,3,2,1,1,99999,2,3,3,2,3,2,1,2,2,2,3,3,2,2,3,3,1,2,2,3,3,2,3,2,2,3,3,3,3,3,5,3,5,5,3,4,3,3,5,5,1,5,5,1,5,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,1,9,9,9,3,3,1,2,1,3,2,2,2,3,6,4,1,72600
3,2507,2,72900,3,3,12,1993,9,1997,1,100,2,2,3,2,2,2,2,3,3,3,3,3,1,5,1,1,1,5,3,4,2,2,2,6,2,99999,5,5,5,1,5,1,1,1,1,5,5,5,5,1,5,4,4,4,3,1,4,4,3,4,3,3,1,1,2,2,2,3,1,3,2,2,3,1,1,1,99999,2,2,1,3,2,1,1,2,2,2,3,3,2,2,2,2,1,2,3,3,3,3,2,2,2,2,2,2,2,2,4,3,3,3,3,5,3,4,4,2,1,5,5,1,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,3,3,2,2,1,2,2,3,2,0,2,2,5,4,1,74700
3,4021,4,69060,17,2,98,1992,6,1997,2,52,2,2,2,3,3,3,3,3,3,4,2,3,1,5,5,1,1,1,1,1,1,1,1,6,2,99999,5,5,5,1,5,5,5,5,5,1,1,5,1,1,5,3,1,3,3,1,3,3,2,3,3,2,2,2,1,2,3,2,2,3,1,1,2,2,2,1,99999,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,5,5,5,5,5,5,5,5,5,5,1,1,1,5,5,2,1,1,1,1,1,2,3,3,1,1,3,3,1,1,1,1,1,1,1,2,2,2,3,3,1,1,2,2,2,1,1,1,6,2,2,70500
3,4783,4,77400,116,4,8,1992,6,1997,4,50,2,1,3,2,2,4,1,4,4,4,4,2,1,1,5,5,1,5,1,1,1,1,1,6,2,99999,5,5,5,1,5,1,1,1,1,1,5,1,1,1,5,3,2,3,1,1,4,4,4,4,4,4,2,1,2,2,3,4,1,4,2,2,3,1,1,1,99999,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,2,3,3,2,3,3,3,3,3,5,5,4,5,4,5,5,4,5,5,1,1,5,5,5,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,3,3,3,2,3,1,1,1,1,1,2,2,2,5,3,1,79200
