FOHHRL97,FOHHID97,FOHHSN97,Q8A0,Q8A1,Q8A2,Q8A2A,Q8A3,Q8A4,Q8A4A,Q8OCC,Q8IND,Q8A8,Q8A8A,Q8A9,Q8A10,Q8A11,Q8A11A,Q8A11B,Q8A12M,Q8A12Y,Q8B0,Q8B1,Q8B2,Q8B3,Q8B4_1ST,Q8B4_2ND,Q8B4_3RD,Q8B4_4TH,Q8B5,Q8B6,Q8B7,Q8B8A,Q8B8B,Q8B8C,Q8B8D,Q8B9A,Q8B9B,Q8B9C,Q8B10,Q8B11,Q8B12,Q8B13A,Q8B13B,Q8B13C,Q8B13D,Q8B13E,Q8B13F,Q8B13G,Q8B13H,Q8B13I,Q8B14A,Q8B14B,Q8B14C,Q8B14D,Q8C1A,Q8C1B,Q8C1C,Q8C1D,Q8C1E,Q8C1F,Q8C1G,Q8C1H,Q8C1I,Q8C1J,Q8C1K,Q8C1L,Q8C1M,Q8C1N,Q8C1O,Q8C1P,Q8C1Q,Q8C1R,Q8C1S,Q8C1T,Q8C1U,Q8C1V,Q8C1W,Q8C1X,Q8C1Y,Q8C1Z,Q8C1AA,Q8C1BB,Q8C1CC,Q8C2A,Q8C2B,Q8C2C,Q8C2D,Q8C2E,Q8C2F,Q8C2G,Q8C2H,Q8C2I,Q8C2J,Q8C3A,Q8C3B,Q8C3C,Q8C3D,Q8C3E,Q8C3F,Q8C3G,Q8C4,Q8C5MO,Q8C5TU,Q8C5WE,Q8C5TH,Q8C5FR,Q8C5SA,Q8C5SU,Q8C5A,Q8C6,Q8C7MO,Q8C7TU,Q8C7WE,Q8C7TH,Q8C7FR,Q8C7SA,Q8C7SU,Q8C7A,Q8C8,Q8C9MO,Q8C9TU,Q8C9WE,Q8C9TH,Q8C9FR,Q8C9SA,Q8C9SU,Q8C9A,Q8C10
2,690,3,75420,1,5,0,12,1,0,441,607,2900,5,55,42000,0,0,0,9,1956,99999,2,4,4,3,5,4,1,1,2,1,3,1,1,1,5,5,1,6,2,2,5,5,5,1,1,5,5,1,1,1,1,1,1,4,1,4,4,4,4,1,2,2,1,3,1,1,2,3,2,2,3,3,2,2,1,4,1,2,3,2,3,1,5,5,5,5,5,5,5,5,5,5,1,5,5,0,5,5,1,1,1,1,1,1,1,1,5,10,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,76320
2,5300,4,60720,1,1,1,12,1,0,4,917,39000,6,45,55000,0,0,0,3,1970,99999,2,1,1,3,1,4,5,1,2,1,4,1,1,1,5,1,5,4,1,2,1,1,5,1,1,3,2,2,1,3,1,1,2,3,1,3,3,3,3,3,3,3,3,3,2,2,3,3,2,3,3,3,3,2,2,2,2,3,3,1,3,3,5,4,5,5,4,5,5,5,5,5,1,5,5,0,5,1,1,1,1,1,1,1,1,5,5,9,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,61800
2,1837,3,63840,2,5,0,12,1,0,481,219,320,3,45,60000,0,0,0,10,1965,99999,2,2,4,3,4,5,1,1,2,1,1,1,1,1,5,1,5,5,1,2,4,2,5,2,2,4,3,4,3,4,1,2,2,3,1,2,3,3,3,2,3,2,2,3,2,2,2,4,1,2,4,4,1,2,1,4,1,1,3,1,4,2,5,5,5,5,5,5,5,5,5,5,1,5,5,0,5,1,1,1,1,1,1,1,1,5,5,9,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,64620
2,1837,4,63840,2,5,0,12,1,0,481,219,320,3,45,60000,0,0,0,10,1965,99999,2,2,4,3,4,5,1,1,2,1,1,1,1,1,5,1,5,5,1,2,4,2,5,2,2,4,3,4,3,4,1,2,2,3,1,2,3,3,3,2,3,2,2,3,2,2,2,4,1,2,4,4,1,2,1,4,1,1,3,1,4,2,5,5,5,5,5,5,5,5,5,5,1,5,5,0,5,1,1,1,1,1,1,1,1,5,5,9,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,64620
2,4499,2,66300,1,5,0,12,1,0,436,69,800,3,40,11000,0,0,0,6,1968,99999,2,1,1,4,3,1,2,1,1,1,1,1,1,2,5,5,1,6,2,2,1,1,5,1,1,5,5,5,4,2,1,1,1,3,1,3,4,4,4,2,3,8,3,3,2,2,3,4,1,3,3,3,1,1,1,4,1,1,3,1,4,1,5,5,5,5,5,5,5,5,5,5,1,5,5,0,5,5,5,1,1,5,1,1,1,5,5,5,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,67380
2,1778,3,72600,3,5,0,16,1,0,245,67,32000,6,45,32000,0,0,0,10,1960,99999,2,2,2,3,4,5,1,2,2,2,1,1,2,3,5,5,5,6,3,2,2,1,5,3,2,5,5,1,2,5,4,2,4,3,2,9,3,3,3,3,3,2,3,2,4,1,2,4,1,2,3,2,2,2,1,4,2,1,3,2,3,3,4,4,5,5,3,3,4,4,5,4,1,5,5,0,1,1,1,1,1,1,1,1,1,5,5,9,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,74100
2,1778,4,72600,3,5,0,16,1,0,245,67,32000,6,45,32000,0,0,0,10,1960,99999,2,2,2,3,4,5,1,2,2,2,1,1,2,3,5,5,5,6,3,2,2,1,5,3,2,5,5,1,2,5,4,2,4,3,2,9,3,3,3,3,3,2,3,2,4,1,2,4,1,2,3,2,2,2,1,4,2,1,3,2,3,3,4,4,5,5,3,3,4,4,5,4,1,5,5,0,1,1,1,1,1,1,1,1,1,5,5,9,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,74100
2,2507,2,74760,1,5,0,16,1,0,245,339,500,3,50,50000,0,0,0,2,1952,99999,2,2,2,1,5,4,3,1,2,2,3,3,3,3,5,5,5,1,1,2,4,3,3,2,3,4,3,2,3,4,2,2,2,3,2,2,3,2,2,3,2,3,3,3,3,2,2,3,2,3,2,2,2,2,2,3,2,2,3,2,3,3,3,3,5,4,4,4,4,3,5,4,1,5,5,0,1,1,1,1,1,1,1,1,1,5,5,10,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,76200
2,4021,4,70500,3,5,0,12,1,0,680,417,40000,6,40,40000,0,0,0,11,1953,99999,2,4,4,3,2,4,1,1,1,1,1,1,1,1,5,1,5,5,1,2,3,3,3,2,3,3,3,3,3,4,4,1,3,3,2,2,3,3,3,3,3,3,3,3,3,2,3,3,2,2,3,3,2,2,2,3,2,3,3,3,3,2,5,5,5,5,5,5,5,5,5,5,1,5,5,0,1,1,5,1,1,1,1,1,1,5,5,8,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,71820
2,4783,4,76200,3,5,0,18,1,0,215,917,40258,6,40,48000,0,0,0,2,1948,99999,2,1,2,4,3,5,2,1,1,1,1,1,1,1,1,5,1,5,2,2,4,3,4,3,3,4,5,5,3,5,4,2,3,4,1,4,4,4,4,3,1,4,2,4,2,1,2,4,1,3,3,1,1,2,1,3,1,1,2,2,4,1,5,3,5,5,5,5,5,5,5,5,1,5,5,0,5,1,5,1,1,1,1,1,1,5,5,8,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,77400
2,2252,2,40620,3,5,0,12,1,0,925,839,12000,6,40,12000,0,0,0,9,1962,99999,2,1,1,4,5,3,1,1,9,1,1,1,1,1,5,1,5,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,3,3,3,3,2,1,3,3,3,1,1,4,4,1,4,2,4,1,2,1,4,1,2,4,1,4,1,5,5,5,5,5,5,5,5,5,5,1,5,5,0,1,1,5,1,1,1,1,5,1,5,5,14,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,41340
2,1549,2,38700,2,5,0,11.5,1,0,461,247,12,1,48,32000,0,0,0,1,1972,99999,2,2,2,1,4,3,5,2,1,1,3,1,2,1,1,5,5,5,2,2,5,5,3,3,2,5,9,9,2,3,4,2,2,3,2,3,3,3,3,2,3,3,2,3,2,2,3,3,2,3,2,2,8,3,2,3,2,2,2,2,3,2,5,5,5,5,5,5,5,5,5,5,1,5,5,0,5,5,5,1,1,1,1,1,1,5,5,10,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,39780
2,2966,4,69000,1,1,1,12,1,0,641,69,300,3,40,999999,9,9,99,1,1967,99999,2,4,4,3,5,4,1,1,2,2,5,3,3,3,5,5,5,6,3,2,3,3,5,3,2,5,5,5,2,3,2,2,4,3,2,3,2,3,3,2,3,2,3,2,3,2,3,3,2,3,3,3,2,3,2,3,2,2,2,2,3,2,5,5,5,5,3,3,5,5,5,5,1,5,5,0,9,9,9,1,1,1,1,1,1,5,5,8,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,70320
2,336,3,33600,1,5,0,12,3,5,0,0,0,0,0,50000,0,0,0,9,1968,99999,2,1,2,5,3,4,1,1,2,1,5,1,1,1,5,5,5,5,2,2,5,5,5,5,5,5,5,5,5,2,2,1,2,3,2,2,2,2,3,2,3,2,2,3,2,2,2,3,2,2,2,3,2,2,2,3,2,1,1,1,3,2,5,5,5,5,5,5,5,5,5,5,5,5,5,1,5,5,5,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,34800
2,4173,2,34200,3,5,0,15,1,0,245,69,55000,6,40,53000,0,0,0,11,1956,99999,2,3,3,3,5,4,1,1,2,2,5,5,2,2,1,1,5,5,2,2,5,2,2,2,2,2,2,2,2,4,2,2,2,3,2,2,2,2,3,2,3,2,3,2,3,2,2,2,2,2,3,2,3,2,2,3,2,2,3,2,3,2,3,3,5,3,3,3,3,3,3,3,1,5,5,0,5,1,5,1,1,1,1,1,5,5,5,10,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,35220
2,4173,4,34200,3,5,0,15,1,0,245,69,55000,6,40,53000,0,0,0,11,1956,99999,2,3,3,3,5,4,1,1,2,2,5,5,2,2,1,1,5,5,2,2,5,2,2,2,2,2,2,2,2,4,2,2,2,3,2,2,2,2,3,2,3,2,3,2,3,2,2,2,2,2,3,2,3,2,2,3,2,2,3,2,3,2,3,3,5,3,3,3,3,3,3,3,1,5,5,0,5,1,5,1,1,1,1,1,5,5,5,10,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,35220
2,3036,3,52560,3,5,0,12,2,0,694,167,11,1,40,26000,0,0,0,11,1965,99999,2,3,2,3,4,5,1,1,2,2,4,1,1,2,1,1,5,5,2,2,5,3,3,3,3,3,5,3,3,4,3,3,1,3,1,3,3,3,3,2,3,9,3,3,2,2,3,4,2,3,3,2,2,2,1,2,1,2,3,1,3,2,4,4,5,3,3,5,3,4,5,3,1,5,5,0,5,5,5,1,1,1,1,1,1,5,5,8,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,53280
2,2767,4,34200,1,5,0,12,1,0,706,387,11,1,40,999999,1,0,1,9,1962,99999,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34800
2,2767,5,34200,1,5,0,12,1,0,706,387,11,1,40,999999,1,0,1,9,1962,99999,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34800
2,2843,4,38100,3,5,0,13,1,0,473,609,7,1,37,22000,0,0,0,4,1963,99999,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39000
2,2843,5,38100,3,5,0,13,1,0,473,609,7,1,37,22000,0,0,0,4,1963,99999,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39000
2,426,2,72300,1,1,1,14,1,0,424,748,58000,6,60,60000,0,0,0,10,1959,99999,2,2,1,3,4,1,5,1,2,2,5,1,3,3,5,5,5,5,2,2,4,4,4,2,2,4,4,4,4,4,2,2,2,2,2,3,1,1,3,2,3,2,1,2,2,2,3,4,2,3,2,2,2,4,2,3,2,2,2,2,3,2,3,4,5,5,5,5,5,5,5,5,1,5,5,0,5,1,5,1,1,1,1,1,1,5,5,10,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,73200
2,426,3,72300,1,1,1,14,1,0,424,748,58000,6,60,60000,0,0,0,10,1959,99999,2,2,1,3,4,1,5,1,2,2,5,1,3,3,5,5,5,5,2,2,4,4,4,2,2,4,4,4,4,4,2,2,2,2,2,3,1,1,3,2,3,2,1,2,2,2,3,4,2,3,2,2,2,4,2,3,2,2,2,2,3,2,3,4,5,5,5,5,5,5,5,5,1,5,5,0,5,1,5,1,1,1,1,1,1,5,5,10,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,73200
2,765,2,63900,1,5,0,13,1,0,245,609,31000,6,68,35000,0,0,0,1,1964,99999,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99999
2,4019,6,59400,2,1,1,10,1,0,402,637,4,1,40,80000,0,0,0,4,1973,99999,2,2,2,4,5,3,1,1,2,1,3,1,2,5,5,1,5,5,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,3,3,2,3,2,3,2,1,3,3,1,3,4,1,3,3,3,1,1,1,3,2,2,2,2,3,1,5,5,5,5,3,5,5,3,5,5,1,5,5,0,5,5,5,1,1,5,1,1,5,1,5,7,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,60600
2,5410,3,72360,3,1,1,14,1,0,436,68,22000,6,45,21000,0,0,0,4,1968,99999,2,1,2,1,3,4,5,1,2,2,2,2,1,2,1,1,1,3,2,2,2,3,3,2,2,3,3,5,3,4,2,3,2,3,2,3,2,3,3,3,2,2,2,3,2,2,3,3,2,3,2,2,2,2,2,3,2,2,3,2,3,2,5,5,5,5,5,5,5,5,5,5,1,5,5,0,5,1,5,1,1,1,1,1,1,5,5,9,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,73800
2,878,2,66240,1,5,0,18,1,0,4,749,37000,6,60,47000,0,0,0,5,1971,99999,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66480
2,2274,4,38400,3,5,0,12,1,0,481,379,12,1,44,45000,0,0,0,6,1973,99999,2,1,2,3,4,5,1,1,9,1,3,4,4,4,5,1,1,3,2,2,1,2,5,3,1,5,5,5,3,4,4,2,3,3,2,3,3,3,3,2,2,3,3,3,2,2,3,3,2,3,3,3,8,2,2,2,2,1,2,2,3,3,1,5,5,5,3,3,5,5,5,5,1,5,5,0,5,5,5,1,1,1,1,1,1,1,5,8,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,39900
2,2274,5,38400,3,5,0,12,1,0,481,379,12,1,44,45000,0,0,0,6,1973,99999,2,1,2,3,4,5,1,1,9,1,3,4,4,4,5,1,1,3,2,2,1,2,5,3,1,5,5,5,3,4,4,2,3,3,2,3,3,3,3,2,2,3,3,3,2,2,3,3,2,3,3,3,8,2,2,2,2,1,2,2,3,3,1,5,5,5,3,3,5,5,5,5,1,5,5,0,5,5,5,1,1,1,1,1,1,1,5,8,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,39900
