HBCREL97,HBCID97,HBCSN97,RELSHIP,Q11A1M,Q11A1D,Q11A1Y,Q11A2M,Q11A3,Q11A4,Q11A5M,Q11A6,Q11A7,Q11A8,Q11A9,Q11A10,Q11A11A,Q11A11B,Q11A11C,Q11A11D,Q11A11E,Q11A11F,Q11A11G,Q11A11H,Q11A11I,Q11A11J,Q11A11K,Q11A11L,Q11A11M,Q11A11N,Q11A11O,Q11A11P,Q11A11Q,Q11A11R,Q11A11S,Q11A11T,Q11A11U,Q11A11V,Q11A11W,Q11A11X,Q11A11Y,Q11A11Z,Q11A11AA,Q11A11BB,Q11A11CC,Q11A12,Q11A13,Q11A14,Q11A14A,Q11A15A,Q11A15B,Q11A15C,Q11A15D,Q11A15E,Q11A15F,Q11A15G,Q11A16A,Q11A16B,Q11A16C,Q11A16D,Q11A16E,Q11A16F,Q11A17,Q11A18,Q11A19,Q11A20,Q11A21,Q11A21A,Q11A21B,Q11A21C,Q11A21D,Q11A21E,Q11A22,Q11A23N,Q11A24,Q11A24A,Q11A24B,Q11A25,Q11A25A,Q11A25B,Q11A25C,Q11A26,Q11A27,Q11A28,Q11A29,Q11A30,Q11A31,Q11A32,Q11A32AA,Q11A32AB,Q11A32AC,Q11A32AD,Q11A32AE,Q11A32AF,Q11A32AG,Q11A33,Q11A34,Q11A35,Q11A37,Q11A38,Q11A39A,Q11A39B,Q11A39C,Q11A39D,Q11A39E,Q11A39F,Q11A39G,Q11A39H,Q11A39I,Q11A40A,Q11A40B,Q11A40C,Q11A40D,Q11A40E,Q11A40F,Q11A40G,Q11A41A,Q11A41B,Q11A41C,Q11A41D,Q11A41E,Q11A42,Q11B1M,Q11B1D,Q11B1Y,Q11B2
3,1114,6,4,4,14,1997,8,1.5,3.8,999,3,5,2,3,1,3,3,2,3,3,3,2,3,2,3,2,2,3,3,3,2,3,3,3,2,2,2,3,3,2,3,3,2,2,11,7,9,9,0,0,0,2,7,2,0,11,0,0,0,0,0,99999,99999,99,9,9,9,9,9,9,9,9,99,999,9,9,9,9,9,9,9,9,9,9,2,9,9,9,9,9,9,9,9,99,1,1960,5,4,1,1,9,9,9,9,9,9,9,9,5,5,5,5,5,5,5,5,1,1,1,5,14000,4,15,1997,2
3,1910,5,4,8,19,1997,8,1,1.5,999,0,5,2,2,2,1,3,2,3,3,1,2,3,3,3,3,3,3,3,3,2,1,1,3,3,3,3,3,2,3,3,3,3,3,9,2,9,9,0,0,0,1,6,2,0,7,99,9,9,9,1,25200,59400,32,9,1,1,1,1,5,5,1,9,0,9,9,1,20,1,0,9,9,9,9,2,9,9,9,9,9,9,9,9,99,1,1946,5,4,1,1,9,9,9,9,9,9,9,9,5,1,5,5,5,5,5,5,1,1,1,5,18000,4,30,1997,3
3,681,3,4,7,3,1997,48,3,24,60,0,5,1,2,2,2,3,3,2,3,2,3,3,3,3,2,2,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,7,1,1,3,1,0,3,1,0,3,0,6,0,1,0,1,0,27000,64800,50,1,1,1,1,1,5,5,1,7,1.75,1,1,1,2,1,0,1,1,1,5,2,1,1,0,0,0,0,0,1,2,1,1954,5,3,5,5,1,1,1,5,5,5,5,9,5,5,5,5,5,5,5,1,1,5,5,9,18000,6,30,1997,1
3,681,4,4,7,3,1997,24,3,24,60,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,1,3,1,0,3,1,0,3,0,6,0,1,0,1,0,27000,64800,50,1,1,1,1,1,5,5,1,7,1.75,1,1,1,2,1,0,1,1,1,5,2,1,1,0,0,0,0,0,1,2,1,1954,5,3,5,5,1,1,1,5,5,5,5,9,5,5,5,5,5,5,5,1,1,5,5,9,18000,5,23,1997,1
3,3530,5,1,7,1,1997,20,7,40,18,0,5,1,2,2,3,3,2,2,3,2,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,1,1,1,40,0,0,0,0,0,1,0,1,0,0,0,0,0,99999,99999,52,9,1,1,1,1,1,5,5,99,0,9,9,5,0,0,0,9,5,5,5,2,1,0,0,0,0,0,0,0,0,1,1940,5,6,1,9,1,9,9,1,9,9,9,9,9,9,9,9,9,9,9,5,5,5,5,5,0,7,1,1997,3
3,2642,3,4,4,14,1997,4,5,50,360,0,5,9,9,9,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,1,1,10,0,1,0,3,0,2,0,6,0,0,0,0,0,19800,64800,38,9,1,1,1,1,5,5,5,99,10,2,1,5,0,0,0,4,5,5,5,2,1,0,0,0,0,0,0,0,0,1,1934,1,3,1,5,1,5,1,1,5,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6000,99,99,9999,4
3,2642,4,4,4,14,1997,4,5,50,360,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,1,10,0,1,0,3,0,2,0,6,0,0,0,0,0,19800,64800,38,9,1,1,1,1,5,5,5,99,10,2,1,5,0,0,0,4,5,5,5,2,1,0,0,0,0,0,0,0,0,1,1934,1,3,1,5,1,5,1,5,5,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6000,99,99,9999,9
3,4499,2,4,5,17,1997,1,7,39,144,0,5,1,1,1,3,3,3,3,3,3,2,3,2,2,3,3,3,3,1,1,3,2,3,3,3,3,3,3,3,3,3,3,3,2,7,3,4,0,0,0,1,1,0,0,2,0,0,0,0,0,25200,79200,48,1,1,1,1,1,1,5,5,99,2,1,1,1,2,1,0,4,5,5,5,2,9,3,0,0,0,0,0,0,3,1,1959,5,3,1,1,1,5,1,5,5,5,1,5,5,5,5,5,5,5,5,5,5,5,5,5,7200,5,16,1997,5
3,4499,3,4,5,17,1997,1,7,39,144,0,5,2,1,2,3,3,3,3,2,2,2,3,3,2,3,3,3,3,3,2,2,2,3,3,3,2,3,1,2,3,3,3,1,2,7,3,4,0,0,0,1,1,0,0,2,0,0,0,0,0,25200,79200,48,1,1,1,1,1,1,5,5,99,2,1,1,1,2,1,0,4,5,5,5,2,1,3,0,0,0,0,0,0,3,1,1959,5,3,1,1,1,5,1,5,5,5,1,5,5,5,5,5,5,5,5,5,5,5,5,5,7200,5,16,1997,5
3,1597,3,1,4,13,1997,48,3,8,240,0,5,2,2,2,3,3,3,3,3,2,3,3,9,3,3,9,3,3,9,3,3,9,3,3,3,9,3,2,3,3,3,3,3,1,1,9,9,0,0,0,0,1,0,0,99,99,9,9,9,9,99999,99999,99,9,1,9,9,9,9,9,9,99,999,9,9,9,99,9,9,9,9,9,9,2,1,0,0,0,0,0,0,0,0,1,1946,5,2,5,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,99999,4,13,1997,9
