HCDREL97,HCDID97,HCDSN97,Q11T1,Q11COLA,Q11COLB,Q11COLC,Q11COLD,Q11COLF,Q11COLGA,Q11COLGB,Q11COLGC,Q11COLGD,Q11COLGE,Q11COLGF,Q11COLGG,Q11COLGH,Q11COLGI,Q11COLGJ,Q11COLGK,Q11COLHA,Q11COLHB,Q11COLHC,Q11COLHD,Q11COLHE,Q11COLHF,Q11COLHG,Q11COLHH,Q11COLHI,Q11COLHJ,Q11COLHK,Q11COLJ
2,1114,6,2,171,32400,28800,0,10,0,1,0,0,0,0,0,0,0,0,1,9,9,9,9,9,9,9,9,9,9,9,0
2,1114,6,2,851,33600,28800,0,10,0,1,0,0,0,0,0,0,0,0,1,9,9,9,9,9,9,9,9,9,9,9,0
2,1114,6,2,851,34200,28800,0,10,0,1,0,0,0,0,0,0,0,0,1,9,9,9,9,9,9,9,9,9,9,9,0
2,1114,6,2,939,35100,28800,0,10,0,1,0,0,0,0,0,0,0,0,1,9,9,9,9,9,9,9,9,9,9,9,0
2,1114,6,2,409,36000,28800,0,10,0,1,0,0,0,0,0,0,0,0,1,9,9,9,9,9,9,9,9,9,9,9,0
2,1114,6,2,851,36900,28800,0,10,0,1,0,0,0,0,0,0,0,0,1,9,9,9,9,9,9,9,9,9,9,9,0
2,1114,6,2,569,38700,28800,0,10,0,1,0,0,0,0,0,0,0,0,1,9,9,9,9,9,9,9,9,9,9,9,0
2,1910,5,4,943,32400,28800,0,10,0,0,0,0,0,0,0,0,0,0,1,9,9,9,9,9,9,9,9,9,9,9,0
2,1910,5,4,481,32700,28800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,1910,5,4,851,33000,28800,0,10,0,1,0,0,0,0,0,0,0,0,1,9,9,9,9,9,9,9,9,9,9,9,0
2,1910,5,4,569,34200,28800,0,10,0,1,0,0,0,0,0,0,0,0,1,9,9,9,9,9,9,9,9,9,9,9,0
2,1910,5,4,875,34800,28800,0,10,0,1,0,0,0,0,0,0,0,0,1,9,9,9,9,9,9,9,9,9,9,9,0
2,681,3,1,919,28800,28800,2,40,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,875
2,681,3,1,919,30600,28800,2,40,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,875
2,681,3,1,449,32400,28800,0,40,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2,681,3,1,801,34200,28800,0,40,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2,681,3,1,889,37800,28800,0,40,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2,681,3,1,877,41400,28800,0,40,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,851
2,681,3,1,877,42300,28800,0,40,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,874
2,681,3,1,449,43200,28800,0,40,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2,681,3,1,889,45000,28800,0,40,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2,681,3,1,981,46800,28800,0,40,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,919
2,681,3,1,889,52200,28800,0,40,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2,681,3,1,873,55800,28800,0,40,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2,681,3,1,875,56700,28800,0,40,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2,681,4,1,919,27000,28800,2,40,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,875
2,681,4,1,919,28800,28800,2,40,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,875
2,681,4,1,874,30600,28800,0,40,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2,681,4,1,449,32400,28800,0,40,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,962
2,681,4,1,876,34200,28800,0,40,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,889
2,681,4,1,877,41400,28800,0,40,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,866
2,681,4,1,449,43200,28800,0,40,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,962
2,681,4,1,877,45000,28800,0,40,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,866
2,681,4,1,981,46800,28800,0,40,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,919
2,681,4,1,469,49500,28800,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,681,4,1,851,52200,28800,0,40,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2,681,4,1,876,55800,28800,0,40,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,889
2,3530,5,2,919,36000,28800,2,40,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2,3530,5,2,448,37800,28800,0,40,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2,3530,5,2,409,39600,28800,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,3530,5,2,876,40200,28800,0,40,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2,3530,5,2,481,47400,28800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,3530,5,2,139,54600,28800,0,40,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2,3530,5,2,481,61800,28800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2642,3,4,449,25200,28800,0,40,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
2,2642,3,4,943,28800,28800,0,40,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
2,2642,3,4,808,32400,28800,0,40,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
2,2642,3,4,877,36000,28800,0,40,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
2,2642,3,4,449,43200,28800,0,40,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
2,2642,3,4,939,46800,28800,0,40,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
2,2642,3,4,919,50400,28800,1,40,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
2,2642,3,4,851,54000,28800,0,40,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
2,2642,3,4,875,57600,28800,0,40,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
2,2642,4,4,449,25200,28800,0,40,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
2,2642,4,4,943,28800,28800,0,40,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
2,2642,4,4,808,32400,28800,0,40,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
2,2642,4,4,875,36000,28800,0,40,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
2,2642,4,4,449,43200,28800,0,40,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
2,2642,4,4,939,46800,28800,0,40,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
2,2642,4,4,919,50400,28800,1,40,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
2,4499,2,5,919,32400,28800,1,40,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,439
2,4499,2,5,844,36900,28800,0,40,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,989
