CHILDID97,CHILDSN97,PCGID97,PCGSN97,CDSHID97,PCGINST97
9,3,9,2,1,1
9,4,9,2,1,1
15,4,15,1,2,1
15,5,15,1,2,1
16,6,16,2,3,1
16,8,16,2,3,1
26,2,26,1,4,1
26,3,26,1,4,1
28,3,28,2,5,1
28,4,28,2,5,1
31,3,31,1,6,1
31,4,31,1,6,1
37,3,37,1,7,1
37,5,37,1,7,1
38,2,38,1,8,1
39,2,39,1,9,1
39,3,39,1,9,1
44,3,44,2,10,1
45,2,45,1,11,1
45,3,45,1,11,1
47,4,47,2,12,1
54,2,54,1,13,1
54,3,54,1,13,1
56,3,56,1,14,1
57,2,57,1,15,1
57,3,57,1,15,1
60,4,60,1,16,1
61,3,61,2,17,1
61,4,61,2,17,1
68,3,68,2,18,1
71,3,71,2,19,1
71,4,71,2,19,1
74,4,74,2,20,1
76,3,76,2,21,1
76,4,76,2,21,1
78,3,78,2,22,1
78,4,78,2,22,1
79,5,79,2,23,1
83,3,83,2,24,1
83,4,83,2,24,1
85,3,85,2,25,1
85,4,85,2,25,1
95,3,95,2,26,1
95,4,95,2,26,1
97,4,97,2,27,1
98,3,98,2,28,1
98,4,98,2,28,1
104,2,104,1,29,1
111,5,111,4,30,1
117,4,117,2,31,1
118,3,118,2,32,1
120,3,120,2,33,1
127,3,127,2,34,1
127,4,127,2,34,1
128,3,128,2,35,1
130,3,130,2,36,1
134,2,134,1,37,1
136,9,136,2,38,1
136,10,136,2,38,1
137,2,137,1,39,1
137,3,137,1,39,1
140,2,140,1,40,1
142,3,142,2,41,1
142,4,142,2,41,1
145,5,145,2,42,1
146,4,146,2,43,1
148,4,148,2,44,1
148,5,148,2,44,1
150,3,150,2,45,1
162,3,162,1,46,1
162,4,162,1,46,1
163,3,163,1,47,1
168,3,168,2,48,1
168,4,168,2,48,1
169,5,169,2,49,1
188,2,188,1,50,1
188,3,188,1,50,1
191,4,191,2,51,1
191,5,191,2,51,1
194,6,194,2,52,1
196,5,196,2,53,1
196,6,196,2,53,1
199,3,199,2,54,1
199,4,199,2,54,1
207,4,207,1,55,1
207,5,207,1,55,1
210,4,210,2,56,1
210,5,210,2,56,1
211,3,211,1,57,1
226,3,226,1,58,1
226,4,226,1,58,1
227,3,227,2,59,1
228,3,228,2,60,1
228,4,228,2,60,1
248,3,248,2,61,1
248,4,248,2,61,1
250,2,250,1,62,1
250,6,250,1,62,1
251,2,251,1,63,1
254,3,254,2,64,1
254,8,254,2,64,1
261,2,261,1,65,1
266,4,266,2,66,1
274,4,274,1,67,1
274,5,274,2,67,2
291,2,291,1,68,1
293,2,293,1,69,1
297,3,297,2,70,1
299,4,299,2,71,1
301,3,301,2,72,1
301,5,301,2,72,1
302,4,302,2,73,1
303,3,303,1,74,1
306,3,306,2,75,1
306,4,306,2,75,1
307,4,307,2,76,1
307,5,307,2,76,1
308,5,308,2,77,1
313,2,313,1,78,1
313,3,313,1,78,1
315,3,315,2,79,1
315,4,315,2,79,1
323,3,323,2,80,1
323,4,323,2,80,1
329,7,329,2,81,1
329,8,329,2,81,1
331,3,331,2,82,1
335,3,335,2,83,1
336,3,336,2,84,1
337,3,337,2,85,1
342,3,342,2,86,1
342,4,342,2,86,1
344,2,344,1,87,1
344,3,344,1,87,1
358,3,358,1,88,1
362,3,362,2,89,1
362,4,362,2,89,1
365,3,365,2,90,1
365,5,365,2,90,1
367,3,367,2,91,1
367,4,367,2,91,1
368,4,368,2,92,1
384,3,384,2,93,1
384,4,384,2,93,1
389,5,389,2,94,1
389,7,389,2,94,1
391,3,391,2,95,1
394,4,394,2,96,1
394,6,394,2,96,1
406,3,406,2,97,1
406,4,406,2,97,1
409,3,409,1,98,1
409,4,409,1,98,1
417,3,417,2,99,1
417,4,417,2,99,1
421,3,421,2,100,1
421,4,421,2,100,1
426,2,426,1,101,1
426,3,426,1,101,1
428,3,428,2,102,1
428,4,428,2,102,1
430,2,430,1,103,1
432,3,432,2,104,1
434,3,434,2,105,1
434,5,434,2,105,1
440,4,440,2,106,1
441,3,441,2,107,1
441,4,441,2,107,1
442,2,442,1,108,1
443,3,443,2,109,1
443,4,443,2,109,1
451,4,451,2,110,1
451,5,451,2,110,1
455,3,455,2,111,1
461,3,461,2,112,1
461,4,461,2,112,1
468,3,468,2,113,1
471,3,471,2,114,1
472,4,472,2,115,1
472,5,472,2,115,1
480,4,480,1,116,1
488,3,488,2,117,1
499,2,499,1,118,1
499,4,499,1,118,1
514,4,514,2,119,1
514,5,514,2,119,1
521,2,521,1,120,1
521,3,521,1,120,1
524,3,524,2,121,1
531,2,531,1,122,1
531,3,531,1,122,1
536,3,536,2,123,1
536,4,536,2,123,1
539,4,539,2,124,1
539,5,539,2,124,1
547,3,547,2,125,1
553,3,553,2,126,1
555,2,555,1,127,1
556,4,556,2,128,1
575,3,575,1,129,1
575,4,575,1,129,1
576,4,576,2,130,1
578,3,578,2,131,1
578,4,578,2,131,1
582,3,582,2,132,1
582,4,582,2,132,1
584,5,584,2,133,1
590,3,590,2,134,1
603,4,603,3,135,1
605,3,605,2,136,1
606,7,606,2,137,1
606,8,606,2,137,1
612,4,612,2,138,1
612,5,612,2,138,1
613,3,613,1,139,1
613,4,613,2,139,2
615,4,615,3,140,1
619,2,619,1,141,1
623,3,623,2,142,1
627,2,627,1,143,1
627,3,627,1,143,1
631,4,631,2,144,1
632,4,632,2,145,1
632,5,632,2,145,1
633,4,633,2,146,1
636,4,636,2,147,1
636,5,636,2,147,1
637,3,637,2,148,1
637,4,637,2,148,1
650,2,650,1,149,1
650,3,650,1,149,1
652,3,652,2,150,1
652,5,652,2,150,1
655,3,655,2,151,1
655,5,655,2,151,1
657,4,657,2,152,1
659,2,659,1,153,1
660,3,660,2,154,1
665,3,665,1,155,1
666,4,666,2,156,1
669,3,669,2,157,1
670,3,670,2,158,1
672,3,672,2,159,1
676,4,676,2,160,1
676,5,676,2,160,1
677,4,677,2,161,1
677,5,677,2,161,1
680,3,680,2,162,1
680,4,680,2,162,1
687,3,687,2,163,1
687,4,687,2,163,1
690,3,690,1,164,1
693,3,693,1,165,1
695,4,695,2,166,1
695,5,695,2,166,1
707,3,707,2,167,1
707,4,707,2,167,1
713,2,713,1,168,1
713,3,713,1,168,1
714,2,714,1,169,1
714,3,714,1,169,1
715,4,715,2,170,1
715,6,715,2,170,1
719,3,719,2,171,1
722,2,722,1,172,1
722,3,722,1,172,1
724,3,724,2,173,1
725,6,725,2,174,1
731,5,731,2,175,1
732,3,732,2,176,1
732,4,732,2,176,1
740,2,740,1,177,1
742,3,742,1,178,1
742,4,742,1,178,1
745,3,745,2,179,1
746,3,746,2,180,1
746,4,746,2,180,1
747,3,747,2,181,1
748,4,748,1,182,1
748,5,748,1,182,1
749,4,749,2,183,1
749,5,749,2,183,1
750,3,750,1,184,1
750,4,750,1,184,1
758,2,758,1,185,1
758,3,758,1,185,1
764,4,764,2,186,1
765,2,765,1,187,1
768,3,768,2,188,1
769,2,769,1,189,1
769,3,769,1,189,1
770,3,770,1,190,1
779,4,779,2,191,1
781,3,781,2,192,1
781,4,781,2,192,1
786,5,786,2,193,1
786,6,786,2,193,1
789,5,789,2,194,1
789,7,789,2,194,1
793,5,793,2,195,1
