EMSAREL97,EMSAID97,EMSASN97,Q12A1,Q12A2A,Q12A2B,Q12A2C,Q12A2D,Q12A2E,Q12A2F,Q12A2G,Q12A2H,Q12A2I,Q12A2J,Q12A2K,Q12A2L,Q12A2M,Q12A2N,Q12A2O,Q12A2P,Q12A3,Q12A4,Q12A5,Q12A6A,Q12A6B,Q12A6C,Q12A6D,Q12A6E,Q12A6F,Q12A7A,Q12A7B,Q12A7C,Q12A7D,Q12A7E,Q12A8,Q12A9,Q12A10,Q12A11,Q12A12,Q12A13,Q12A14,Q12A15,Q12A16,Q12A17,Q12A18,Q12A19T,Q12A19S,Q12A20AN,Q12A20AP,Q12A20BN,Q12A20BP,Q12A20CN,Q12A20CP,Q12A20DN,Q12A20DP,Q12A20EN,Q12A20EP,Q12A20FN,Q12A20FP,Q12A21AN,Q12A21AP,Q12A21BN,Q12A21BP,Q12A21CN,Q12A21CP,Q12A21DN,Q12A21DP,Q12A21EN,Q12A21EP,Q12A21FN,Q12A21FP,Q12A21GN,Q12A21GP,Q12A21HN,Q12A21HP,Q12A22A,Q12A22B,Q12A22C,Q12A23,Q12A24,Q12A25,Q12A26,Q12A27,Q12A28,Q12A28A,Q12A28B,Q12A28C,Q12A28D,Q12A29A,Q12A29B,Q12A29C,Q12A29D,Q12A29E,Q12A29F,Q12A29G,Q12A30A,Q12A30B,Q12A30C,Q12A30D,Q12A30E,Q12A31A,Q12A31B,Q12A31C,Q12A31D,Q12A31E,Q12A31F,Q12A31G,Q12A31H,Q12A32,PRESCHL
3,3854,4,1,1,1,1,1,1,1,5,5,5,5,5,5,5,5,5,5,2,730,63,718,11,0,0,1,0,0,0,0,365,365,10,1,1,1,5,5,49,49,12,11,0,1,22,46,0,3,0,0,0,0,0,0,0,9,9,0,0,0,0,0,0,0,0,0,80,0,20,0,0,0,0,99,99,99,99,99,99999,99999,99999,9,9999,9,9,9,9,9,9,9,9,9,9,1,5,5,5,5,2,1,1,1,1,1,1,2,180,0
3,3853,3,1,1,1,1,1,1,1,1,1,5,5,5,5,5,5,1,5,2,887,43,745,124,9,9,0,0,0,0,18,452,0,21,6,1,1,1,1,60,60,20,20,6,1,13,78,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,29,0,0,0,0,0,11,99,99,6,2,21000,29585,2458,5,0,0,0,0,2,3,2,2,1,1,1,1,5,5,5,5,1,1,1,1,1,1,1,1,180,0
3,368,4,1,5,5,5,5,5,5,1,1,1,1,5,5,5,5,5,5,2,489,30,484,5,0,0,0,0,0,0,0,161,0,5,10,1,5,5,5,29,29,5,5,0,1,35,0,95,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85,0,15,0,0,0,0,5,99,99,5,4,23000,25000,3000,5,0,0,0,0,1,1,1,1,1,1,1,1,5,5,5,5,3,2,2,3,3,2,1,3,180,0
3,6048,5,1,5,5,5,5,5,5,5,5,1,1,1,1,1,1,5,5,1,240,10,237,0,2,0,0,1,1,1,0,52,999,1,0,5,1,5,5,24,24,1,1,0,1,12.3,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67,0,33,0,0,0,0,0,0,99,2,2,20725,34145,6461,5,0,0,0,0,2,2,2,3,1,2,1,1,5,5,5,5,1,2,2,2,2,1,1,1,179,0
3,1111,5,1,5,1,1,1,1,1,1,5,5,5,5,5,5,5,5,5,1,385,15,358,23,4,0,0,0,0,0,0,155,30,20,5,1,1,5,5,23,23,0,0,6,1,22,0,99,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,50,0,0,0,0,3,0,15,0,0,23500,99999,99999,5,0,0,0,0,3,3,3,2,1,2,1,1,5,5,5,5,2,1,1,1,1,1,1,2,180,0
3,1111,6,1,5,1,1,1,1,1,1,5,5,5,5,5,5,5,5,5,1,385,15,358,23,4,0,0,0,0,0,0,155,30,20,5,1,1,5,5,23,23,0,0,6,1,22,0,99,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,50,0,0,0,0,3,0,15,0,0,23500,99999,99999,5,0,0,0,0,3,3,3,2,1,2,1,1,5,5,5,5,2,1,1,1,1,1,1,2,180,0
3,1179,3,1,5,1,1,1,1,1,1,1,5,5,5,5,5,5,5,5,2,285,18,250,7,13,5,11,0,2,1,2,100,7,17,15,1,1,1,5,16,9,4,2,0,1,24,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,10,0,0,0,0,0,0,0,15,1,1,27000,39000,3900,5,0,0,0,0,3,3,3,2,1,1,1,1,5,5,5,5,2,1,2,1,1,1,1,2,172,0
3,1179,4,1,5,1,1,1,1,1,1,1,5,5,5,5,5,5,5,5,2,285,18,250,7,13,5,11,0,2,1,2,100,7,17,15,1,1,1,5,16,9,4,2,0,1,24,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,10,0,0,0,0,0,0,0,15,1,1,27000,39000,3900,5,0,0,0,0,3,3,3,2,1,1,1,1,5,5,5,5,2,1,2,1,1,1,1,2,172,0
3,3651,3,1,1,1,1,1,1,1,1,5,5,5,5,5,5,5,1,1,1,516,23,366,114,21,10,5,0,423,21,36,289,253,43,6,1,1,5,5,29,29,11,11,0,1,23,0,73,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.299999,0,66.699997,0,0,0,0,9,99,24,99,5,26450,35680,2321,5,0,0,0,0,2,3,3,1,1,2,1,1,5,5,5,1,2,1,2,1,1,1,2,2,180,0
3,367,3,1,5,5,1,1,1,1,1,1,1,1,5,5,5,5,5,5,1,9999,999,9999,9999,9999,999,999,999,9999,9999,999,9999,999,99,99,9,1,5,5,4,4,1,0,0,1,10.3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,99,99,99,0,0,16900,18000,99999,5,0,0,0,0,2,1,1,1,2,1,3,5,5,5,5,5,1,1,2,1,1,1,1,1,180,0
