PDAREL97,PDAID97,PDASN97,Q13A1,Q13A2Y,Q13A2M,Q13A3_1,Q13A3_2,Q13A3_3,Q13A3_4,Q13A3_5,Q13A3_6,Q13A3_7,Q13A4W,Q13A4M,Q13A5A,Q13A5B,Q13A5C,Q13A5D,Q13A5E,Q13A5F,Q13A5G,Q13A6,Q13A7,Q13A8,Q13A9,Q13A10,Q13A11,Q13A12,Q13A13,Q13A14,Q13A15AN,Q13A15AP,Q13A15BN,Q13A15BP,Q13A15CN,Q13A15CP,Q13A15DN,Q13A15DP,Q13A15EN,Q13A15EP,Q13A15FN,Q13A15FP,Q13A15GN,Q13A15GP,Q13A16AN,Q13A16AP,Q13A16BN,Q13A16BP,Q13A16CN,Q13A16CP,Q13A16DN,Q13A16DP,Q13A16EN,Q13A16EP,Q13A16FN,Q13A16FP,Q13A17N,Q13A17P,Q13A18N,Q13A18P,Q13A19,Q13A20,Q13A20A,Q13A20B,Q13A20C,Q13A20D,Q13A20E,Q13A20F,Q13A20G,Q13A20H,Q13A20I,Q13A20J,Q13A20K,Q13A20L,Q13A21,Q13A21A,Q13A21B,Q13A21C,Q13A21D,Q13A22,Q13A22A,Q13A22B,Q13A22C,Q13A22D,Q13A22E,Q13A23,Q13A24,Q13A24A,Q13A24B,Q13A24C,Q13A24D,Q13A24E,Q13A25,Q13A26N,Q13A26P,Q13A27,Q13A28,Q13A29,Q13A30,Q13A31,Q13A32T,Q13A32S,Q13A33AN,Q13A33AP,Q13A33BN,Q13A33BP,Q13A33CN,Q13A33CP,Q13A33DN,Q13A33DP,Q13A33EN,Q13A33EP,Q13A33FN,Q13A33FP,Q13A34AN,Q13A34AP,Q13A34BN,Q13A34BP,Q13A34CN,Q13A34CP,Q13A34DN,Q13A34DP,Q13A34EN,Q13A34EP,Q13A34FN,Q13A34FP,Q13A34GN,Q13A34GP,Q13A34HN,Q13A34HP,Q13A35A,Q13A35B,Q13A35C,Q13A36,Q13A37,Q13A38,Q13A39,Q13A40,Q13A41,Q13A42,Q13A43,Q13A44,Q13A45,Q13A46,Q13A47A,Q13A47B,Q13A47C,Q13A47D,Q13A47E,Q13A47F,Q13A47G,Q13A47H
3,2732,4,3,9,0,1,5,1,5,1,1,5,0,9,1,1,1,1,1,2,2,31500,54000,5,5,14,3,40,2,5,0,0,0,0,0,0,12,0,28,0,0,0,0,0,37,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,2,1,3,0,0,0,0,0,0,0,0,0,0,0,1,85,5,5,5,5,0,0,0,0,0,0,1,1,5,5,5,5,5,0,0,2,0,0,0,0,1,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,999,999,0,0,99999,12000,9999,1,5,1,1,60,3,100,0,0,0,0,0,0,0
3,475,3,3,6,0,1,5,1,5,1,5,5,0,9,1,1,1,1,1,2,2,32400,57600,5,5,18,6,60,2,1,0,0,0,0,999,999,999,999,999,999,999,999,0,0,999,999,999,999,999,999,999,999,999,999,999,999,0,0,0,0,1,1,3,0,0,0,0,0,0,0,0,0,0,0,1,3,1,5,1,5,0,0,0,0,0,0,1,1,5,5,5,5,5,0,0,3,0,1,0,0,1,18,0,99.900002,99,999,99,999,99,999,99,999,99,999,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,999,999,999,1,1,6000,8000,9998,1,5,1,5,60,2,80.5,0,0,0,5,0,18,1
3,2121,3,1,27,0,1,5,1,5,1,5,1,36,0,1,1,1,1,1,2,2,32400,54000,5,5,37,5,80,3,1,0,0,0,0,0,0,10,0,34,0,36,0,0,0,77,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,2,0,5,5,1,5,5,5,5,5,5,5,5,1,80,5,5,1,5,0,0,0,0,0,0,1,1,5,5,5,5,5,0,0,2,2,2,0,1,1,8,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,999,4,999,1,1,99999,20000,719.5,5,5,5,1,98,2,100,0,0,0,0,0,0,0
3,1504,4,1,25,0,1,5,1,5,1,5,5,99,99,1,1,1,1,1,2,2,32400,54000,5,5,999,99,999,999,9,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,9,2,0,5,1,5,5,5,5,5,5,5,5,5,1,9999,9,5,1,5,0,0,0,0,0,0,9,9,9,9,9,9,5,0,0,99,0,99,0,99,9,99,99,999,99,999,99,999,99,999,99,999,99,999,99,999,99,999,99,999,99,999,99,999,99,999,99,999,99,999,0,1,0,2,2,99999,99999,9999,5,9,9,9,999,9,999,999,999,999,999,999,999,999
3,1466,4,97,10.5,0,1,1,1,5,1,5,5,0,12,1,1,1,1,1,2,2,23400,73800,1,1,119,2,247,130,1,0,0,0,0,0,0,18,0,19,0,19,0,28,0,229,0,5,0,10,0,3,0,998,998,999,999,2,0,0,25,1,1,2,0,0,0,0,0,0,0,0,0,0,0,1,17,2,5,1,1,2,5,5,1,5,0,1,1,5,5,5,5,5,999,999,2,2,20,0,0,1,10,18,0,0,0,1,0,0,0,3,0,0,0,22,0,17,0,0,0,0,0,4,0,1,0,0,0,0,0,10,999,999,10,10,5,5,9999,5,5,5,5,55,3,75,20,0,0,5,0,0,0
3,6097,5,97,12,0,1,1,1,1,1,1,5,0,12,1,1,1,1,1,2,2,22500,66600,1,1,134,3,87,5,1,8,0,8,0,15,0,19,0,24,0,9,0,63,0,0,52,0,19,0,3,9,0,0,1,999,999,3,0,0,37,2,1,2,0,0,0,0,0,0,0,0,0,0,0,1,105,3,5,5,1,61,1,5,5,5,0,1,1,1,1,5,5,1,61,0,31,18,0,0,0,1,10,28,0,3,0,0,0,0,0,0,0,0,0,15,0,16,0,3,0,2,0,5,0,0,0,0,0,0,0,11,0,16,9,19,5,6,9999,1,9,1,1,38,3,100,0,0,0,0,0,0,0
3,2344,4,1,50,0,1,5,1,5,1,1,1,0,9,1,1,1,1,1,2,2,30600,54000,5,5,65,7,74,8,5,0,0,0,0,14,0,30,0,29,0,1,0,0,0,72,0,1,0,0,0,1,0,0,0,0,0,5,0,0,0,1,2,0,5,5,1,5,5,5,5,5,5,5,5,1,140,5,5,1,5,0,0,0,0,0,0,1,1,5,5,5,5,5,0,0,6,0,5,0,0,1,6,11,0,0,0,0,0,0,0,0,0,0,0,99,999,3,0,4,0,99,999,3,0,1,0,99,999,0,0,4,2,5,3,1,4800,6500,1500,1,1,1,5,85,2,90,0,0,0,0,10,.050000001,0
3,4453,4,1,15,0,1,1,5,5,1,5,1,50,0,1,1,1,1,1,2,2,23400,64800,5,5,85,5,75,21,1,0,0,0,0,19,0,15,0,30,0,11,0,0,0,58,0,2,0,9,0,0,3,0,0,3,0,0,0,2,0,1,1,3,0,0,0,0,0,0,0,0,0,0,0,1,9999,9,9,9,1,999,9,9,9,9,99,1,1,5,5,5,5,5,0,0,5,5,2,0,0,1,12,7,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,2,7,8,9999,5,5,2,1,65,2,100,0,0,0,0,0,0,0
3,4264,3,4,15,0,1,1,5,5,1,1,5,0,11,1,1,1,1,1,2,2,27900,63000,5,5,65,4,60,3,1,0,0,0,0,15,0,15,0,13,0,2,0,15,0,49,0,10,0,0,0,2,0,0,0,0,0,5,0,4,0,1,2,0,5,5,5,5,5,5,1,5,5,5,5,1,280,5,5,1,1,1,5,1,5,5,1,1,1,5,5,5,5,5,0,0,4,4,14,0,0,1,6,11,0,7,0,0,0,0,0,0,0,0,0,99,999,8,0,99,999,99,999,6,0,4,0,99,999,0,0,3,999,18,4,3,24000,26000,633,1,5,1,1,85,1,50,0,50,0,0,0,0,0
3,4264,4,4,15,0,1,1,5,5,1,1,5,0,11,1,1,1,1,1,2,2,27900,63000,5,5,65,4,60,3,1,0,0,0,0,15,0,15,0,13,0,2,0,15,0,49,0,10,0,0,0,2,0,0,0,0,0,5,0,4,0,1,2,0,5,5,5,5,5,5,1,5,5,5,5,1,280,5,5,1,1,1,5,1,5,5,1,1,1,5,5,5,5,5,0,0,4,4,14,0,0,1,6,11,0,7,0,0,0,0,0,0,0,0,0,99,999,8,0,99,999,99,999,6,0,4,0,99,999,0,0,3,999,18,4,3,24000,26000,633,1,5,1,1,85,1,50,0,50,0,0,0,0,0
3,45,2,97,32,0,1,1,1,1,1,5,5,0,9,1,1,1,1,1,2,2,28800,50400,1,1,513,1,513,30,1,0,0,0,0,0,0,20,0,308,0,185,0,0,0,24,0,484,0,3,0,2,0,999,999,5,0,59,0,465,0,1,2,0,9,9,9,9,9,9,9,9,9,9,9,5,0,0,0,0,5,0,0,0,0,0,0,1,1,1,1,5,5,1,513,0,27,27,27,27,0,1,9,5,0,49,0,99,999,99,999,99,999,0,0,54,0,18,0,21,0,11,0,3,0,0,0,0,0,0,0,3,999,4,7,7,12800,13542,5909.1401,1,5,1,1,77,2,999,999,999,999,999,999,999,999
3,756,4,2,5,0,1,5,1,5,1,1,5,43,0,1,1,1,1,1,2,2,27900,54000,5,5,20,1,19,2,1,0,0,0,0,0,0,6,0,5,0,8,0,0,0,5,0,1,0,7,0,0,0,0,0,6,0,1,0,19,0,1,2,0,1,5,5,5,5,5,5,5,5,5,5,5,0,0,0,0,5,0,0,0,0,0,0,1,1,1,1,5,5,1,19,0,3,2,2,1,0,1,19,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,1,3,999,0,0,16000,99999,9999,1,9,1,1,999,2,0,100,0,0,0,0,0,0
3,4277,3,4,20,0,1,5,5,5,1,5,5,50,0,1,1,1,1,1,2,2,27000,64800,5,5,323,8,143,8,1,0,0,0,0,30,0,42,0,48,0,0,0,17,0,68,0,31,0,23,0,18,0,0,0,3,0,57,0,33,0,1,2,0,5,5,5,1,5,5,1,5,5,1,5,9,9999,9,9,9,1,55,5,5,5,1,0,1,1,1,1,5,5,1,33,0,16,16,15,11,0,1,7,21,0,5,0,5,0,0,0,0,0,0,0,0,0,4,0,0,0,6,0,17,0,4,0,0,0,0,0,5,999,27,6,6,99999,99999,9999,1,1,1,1,85,2,50,0,0,0,0,0,0,50
3,6100,3,1,26,0,1,5,1,5,1,5,5,0,9,1,1,1,1,1,2,2,31500,42300,5,5,125,8,105,5,1,0,0,0,0,24,0,36,0,45,0,0,0,0,0,103,0,0,0,1,0,0,0,1,0,0,0,0,0,999,999,1,1,3,0,0,0,0,0,0,0,0,0,0,0,1,5,2,5,5,1,3,1,5,5,5,0,1,1,5,5,5,5,5,0,0,3,0,0,0,0,1,12,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,1,4000,4500,345,1,5,5,5,50,2,97,0,3,0,0,0,0,0
3,5143,3,1,17,0,1,5,1,5,1,5,5,0,9,1,1,1,1,2,2,2,30600,39600,5,5,999,2,37,2,1,0,0,0,0,0,0,0,0,999,999,999,999,999,999,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,5,5,1,5,5,5,5,5,5,5,5,1,50,5,5,5,5,0,0,0,0,0,0,1,1,5,5,5,5,5,0,0,3,0,0,0,0,1,3,3,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,999,1,1,2300,5000,391,5,5,2,5,80,2,100,0,0,0,0,0,0,0
