FUPREL97,FUPID97,FUPSN97,WEEKDAY,WDTDMON,WDTDDAY,WDTDYR,WDIWMON,WDIWDAY,WDIWYR,WD_DAY,WD_A1,WD_A2,WD_SAQ,WD_FTF,WD_PHONE,WEEKEND,WETDMON,WETDDAY,WETDYR,WEIWMON,WEIWDAY,WEIWYR,WE_DAY,WE_A1,WE_A2,WE_SAQ,WE_FTF,WE_PHONE
3,5491,2,1,10,16,1997,10,22,1997,4,3,2,5,5,1,1,10,19,1997,10,22,1997,7,3,1,5,5,1
3,3854,4,1,4,29,1997,5,3,1997,2,1,4,5,1,5,1,4,27,1997,5,3,1997,7,1,3,5,1,5
3,4246,2,1,4,29,1997,4,27,1997,2,1,2,5,1,5,1,4,27,1997,4,27,1997,7,1,3,5,1,5
3,4246,3,1,4,29,1997,4,27,1997,2,1,1,5,1,5,1,4,27,1997,4,27,1997,7,1,3,5,1,5
3,4773,2,1,9,21,1997,9,21,1997,4,3,1,5,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0
3,3853,3,1,11,5,1997,11,5,1997,1,1,1,5,5,1,1,11,5,1997,11,5,1997,6,9,1,5,5,1
3,368,4,1,4,15,1997,4,16,1997,2,3,3,5,5,1,1,4,13,1997,4,16,1997,7,3,1,5,5,1
3,3633,5,1,6,20,1997,7,2,1997,5,2,5,5,5,1,1,6,21,1997,7,2,1997,6,2,5,5,5,1
3,6048,5,1,10,15,1997,10,15,1997,2,2,1,1,5,1,1,10,18,1997,10,20,1997,6,1,2,1,5,1
3,1111,5,1,4,12,1997,4,16,1997,5,1,2,5,1,1,1,4,16,1997,4,16,1997,7,1,2,5,1,1
3,1111,6,1,4,12,1997,4,16,1997,5,1,2,5,1,1,1,4,16,1997,4,16,1997,7,1,2,5,1,1
3,1114,4,1,3,17,1997,3,21,1997,2,1,1,1,5,1,1,3,16,1997,3,21,1997,7,1,1,1,5,1
3,1114,6,1,3,18,1997,3,21,1997,2,1,1,1,5,1,1,3,16,1997,3,21,1997,7,1,1,1,5,1
3,1910,5,1,6,12,1997,6,14,1997,4,1,9,5,1,5,1,6,7,1997,6,14,1997,6,1,1,5,1,5
3,6041,2,1,9,19,1997,9,22,1997,5,1,5,1,1,5,1,9,21,1997,9,22,1997,7,1,5,1,1,5
3,1336,4,1,3,20,1997,4,23,1997,4,1,1,5,5,1,1,3,23,1997,4,23,1997,7,1,3,5,5,1
3,1336,5,1,3,20,1997,4,23,1997,4,4,1,5,5,1,1,3,23,1997,4,23,1997,7,4,3,5,5,1
3,1179,3,1,4,23,1997,4,25,1997,3,1,2,1,5,1,1,4,19,1997,4,25,1997,6,1,3,1,5,1
3,1179,4,1,4,23,1997,4,25,1997,3,1,2,1,5,1,1,4,19,1997,4,25,1997,6,1,3,1,5,1
3,681,3,1,5,5,1997,5,6,1997,1,1,1,1,5,1,1,5,3,1997,5,6,1997,6,1,1,1,5,1
3,681,4,1,5,5,1997,5,6,1997,1,1,1,1,5,1,1,5,3,1997,5,6,1997,6,1,1,1,5,1
3,690,3,1,3,26,1997,3,27,1997,3,2,1,1,5,5,1,3,22,1997,3,27,1997,6,1,5,1,5,5
3,687,3,1,3,18,1997,3,20,1997,2,1,1,1,5,5,1,3,16,1997,3,20,1997,7,1,2,1,5,5
3,687,4,1,3,18,1997,3,20,1997,2,1,1,1,5,5,1,3,16,1997,3,20,1997,7,1,2,1,1,5
3,4261,4,1,10,8,1997,10,9,1997,3,1,1,1,5,1,1,10,12,1997,10,14,1997,7,1,3,1,5,1
3,1487,4,1,4,22,1997,4,24,1997,3,1,3,1,5,1,1,4,27,1997,5,1,1997,7,1,3,1,5,1
3,1487,6,1,4,22,1997,4,24,1997,3,1,3,1,5,1,1,4,27,1997,5,1,1997,7,1,3,1,5,1
3,5256,3,1,9,25,1997,9,27,1997,4,1,1,1,5,1,1,9,21,1997,9,27,1997,7,1,1,1,5,1
3,5256,4,1,9,25,1997,9,27,1997,4,1,1,1,5,1,1,9,21,1997,9,27,1997,7,1,1,1,5,1
3,3651,3,1,5,29,1997,5,29,1997,4,1,2,1,5,5,1,5,25,1997,5,29,1997,7,1,2,1,5,5
3,5098,3,1,5,26,1997,5,29,1997,1,1,3,5,1,5,1,5,24,1997,5,29,1997,6,1,2,5,1,5
3,1293,3,1,10,1,1997,10,6,1997,3,1,3,5,5,1,1,10,5,1997,99,99,9999,7,1,2,9,9,9
3,3434,3,1,4,17,1997,4,17,1997,3,4,2,5,5,1,1,99,99,9999,4,17,1997,7,9,9,5,1,5
