ASMREL,ASMTID01,ASMTSN01,Q24MONTH,Q24DAY,Q24YEAR,Q24FORM,Q24LANG,Q24A1,Q24A2,Q24A3A,Q24A3B,Q24A3C,Q24A4A,Q24A4B,Q24A4C,Q24BMI,Q24B2,Q24LW1,Q24LW2,Q24LW3,Q24LW4,Q24LW5,Q24LW6,Q24LW7,Q24LW8,Q24LW9,Q24LW10,Q24LW11,Q24LW12,Q24LW13,Q24LW14,Q24LW15,Q24LW16,Q24LW17,Q24LW18,Q24LW19,Q24LW20,Q24LW21,Q24LW22,Q24LW23,Q24LW24,Q24LW25,Q24LW26,Q24LW27,Q24LW28,Q24LW29,Q24LW30,Q24LW31,Q24LW32,Q24LW33,Q24LW34,Q24LW35,Q24LW36,Q24LW37,Q24LW38,Q24LW39,Q24LW40,Q24LW41,Q24LW42,Q24LW43,Q24LW44,Q24LW45,Q24LW46,Q24LW47,Q24LW48,Q24LW49,Q24LW50,Q24LW51,Q24LW52,Q24LW53,Q24LW54,Q24LW55,Q24LW56,Q24LW57,Q24LW58,Q24LWRAW,Q24LWSS,Q24PC1,Q24PC2,Q24PC3,Q24PC4,Q24PC5,Q24PC6,Q24PC7,Q24PC8,Q24PC9,Q24PC10,Q24PC11,Q24PC12,Q24PC13,Q24PC14,Q24PC15,Q24PC16,Q24PC17,Q24PC18,Q24PC19,Q24PC20,Q24PC21,Q24PC22,Q24PC23,Q24PC24,Q24PC25,Q24PC26,Q24PC27,Q24PC28,Q24PC29,Q24PC30,Q24PC31,Q24PC32,Q24PC33,Q24PC34,Q24PC35,Q24PC36,Q24PC37,Q24PC38,Q24PC39,Q24PC40,Q24PC41,Q24PC42,Q24PC43,Q24PCRAW,Q24PCSS,Q24BRSS,Q24AP1,Q24AP2,Q24AP3,Q24AP4,Q24AP5,Q24AP6,Q24AP7,Q24AP8,Q24AP9,Q24AP10,Q24AP11,Q24AP12,Q24AP13,Q24AP14,Q24AP15,Q24AP16,Q24AP17,Q24AP18,Q24AP19,Q24AP20,Q24AP21,Q24AP22,Q24AP23,Q24AP24,Q24AP25,Q24AP26,Q24AP27,Q24AP28,Q24AP29,Q24AP30,Q24AP31,Q24AP32,Q24AP33,Q24AP34,Q24AP35,Q24AP36,Q24AP37,Q24AP38,Q24AP39,Q24AP40,Q24AP41,Q24AP42,Q24AP43,Q24AP44,Q24AP45,Q24AP46,Q24AP47,Q24AP48,Q24AP49,Q24AP50,Q24AP51,Q24AP52,Q24AP53,Q24AP54,Q24AP55,Q24AP56,Q24AP57,Q24AP58,Q24AP59,Q24AP60,Q24APRAW,Q24APSS,Q24C1A,Q24C1B,Q24C2A,Q24C2B,Q24C3A,Q24C3B,Q24C4A,Q24C4B,Q24C5A,Q24C5B,Q24C6A,Q24C6B,Q24C7A,Q24C7B,Q24C8A,Q24C8B,Q24DSFO,Q24C9A,Q24C9B,Q24C10A,Q24C10B,Q24C11A,Q24C11B,Q24C12A,Q24C12B,Q24C13A,Q24C13B,Q24C14A,Q24C14B,Q24C15A,Q24C15B,Q24DSBA,Q24DSTO,Q24D1,Q24D1A,Q24D2,Q24D2A,Q24D2B,Q24D2C,Q24D2D,Q24D2E,Q24D2F,Q24D2G,Q24D2H,Q24D2I,Q24D3,Q24D3A,Q24D3B,Q24D3C,Q24D3D,Q24D3E,Q24D3F,Q24D3G,Q24D3H,Q24D3I,Q24IWAGE,WTIND02,Q24LWPR,Q24LWW,Q24PCPR,Q24PCW,Q24BRPR,Q24BRW,Q24APPR,Q24APW,BMIZ02,HGTZ02,WGTZ02,HGTIND02,WGTIND02
5,3,2,3,1,2003,1,1,62,94,0,0,0,0,0,0,17.200001,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,9,43,99,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,91,95,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,81,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,7,1,1,1,1,0,1,0,0,0,0,0,0,0,0,5,12,1,3,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,135,2,47,504,28,493,36,498,11,481,-.17,1.55,.49000001,3,2
5,3,3,1,10,2003,1,1,54,62,0,0,0,0,0,0,14.9,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,27,88,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,99,93,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,75,1,1,1,1,1,1,0,1,1,1,1,1,0,0,0,0,11,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,13,1,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,103,2,21,453,48,477,32,465,5,451,-.69,.99000001,.1,2,2
5,24,2,6,21,2003,2,1,61,158,0,0,0,0,0,0,29.9,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,9,42,99,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,1,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,93,95,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,110,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,8,1,1,1,1,0,0,0,0,0,0,0,0,0,0,4,12,1,3,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,136,4,47,504,31,494,38,499,75,514,2.23,1.12,2.4000001,2,4
5,24,3,12,5,2002,1,1,65,229,0,0,0,0,0,0,38.099998,7,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,14,36,1,1,1,1,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,49,37,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,78,1,1,1,1,1,1,0,1,1,1,0,1,0,0,0,0,10,1,1,1,0,0,0,0,0,0,0,0,0,0,0,3,13,1,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,148,4,0,404,0,441,0,422,7,481,2.6199999,1.75,3.27,4,4
5,29,3,11,3,2002,1,1,67,115,0,0,0,0,0,0,18,12,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,9,55,127,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,0,0,0,1,0,0,0,0,34,108,121,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,42,96,1,1,1,1,1,1,1,0,1,1,0,0,0,0,0,0,9,1,1,1,1,1,0,0,0,0,0,0,0,0,0,5,14,9,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,207,2,96,557,71,529,92,543,40,525,-1.25,1.11,-.38999999,2,2
5,32,3,11,5,2002,1,1,33,79,0,0,0,0,0,0,51,6,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,99,999,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,89,0,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,99,999,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,12,1,1,1,1,1,1,0,1,0,0,0,0,0,0,7,19,1,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,140,4,999,999,22,490,999,999,999,999,2.99,-8.4399996,-.60000002,1,2
5,32,4,11,5,2002,1,1,40,65,0,0,0,0,0,0,28.6,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,33,84,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,0,1,0,0,1,0,0,1,1,0,1,0,0,0,1,1,0,0,0,0,1,0,27,113,95,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,94,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,10,1,1,1,1,1,0,0,0,0,0,0,0,0,0,5,15,1,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,126,4,15,473,80,510,36,492,34,492,2.23,-6.0999999,-.94,1,2
5,59,3,2,24,2003,1,1,46,54,0,0,0,0,0,0,17.9,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,22,110,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,107,108,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,106,1,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,8,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,10,1,3,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,78,3,76,437,68,441,71,439,65,458,1.34,-.38999999,.73000002,2,2
5,61,2,12,27,2002,1,1,47,59,0,0,0,0,0,0,18.799999,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,28,105,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,104,105,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,101,1,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,8,1,1,1,1,1,0,0,0,0,0,0,0,0,0,5,13,1,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,90,3,63,457,60,466,64,462,53,469,1.3,-.99000001,.56999999,2,2
5,65,5,12,10,2002,1,1,60,123,0,0,0,0,0,0,24,8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,43,90,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,30,108,96,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,82,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,11,1,1,0,1,1,0,1,0,0,0,0,0,0,0,5,16,1,3,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,165,3,25,504,70,518,38,511,12,492,1.1900001,-1.13,.67000002,2,2
