EMSREL,EMSID01,EMSSN01,Q29A1MON,Q29A1DAY,Q29A1YR,Q29A2A,Q29A2B,Q29A2C,Q29A2D,Q29A2E,Q29A3,Q29A4,Q29A5,Q29A6,Q29A7,Q29A8,Q29A9,Q29A10,Q29A11,Q29A12,Q29A13A,Q29A13B,Q29A14A,Q29A14B,Q29A14C,Q29A14D,Q29A15,Q29A15A,Q29A16,Q29A16A,Q29A17,Q29A18,Q29A18A,Q29A18B,Q29A19,Q29A19A1,Q29A19A2,Q29A19A3,Q29A19A4,Q29A19A5,Q29A19B1,Q29A19B2,Q29A19C,Q29A19D,Q29A19E,Q29A20,Q29A21,Q29A21A,Q29A21B,Q29A22,Q29A22A1,Q29A22A2,Q29A22A3,Q29A22A4,Q29A22A5,Q29A22B1,Q29A22B2,Q29A22C,Q29A22D,Q29A22E,Q29B1A,Q29B1B,Q29B1C,Q29B1D,Q29B1E,Q29B1F,Q29B2A,Q29B2B,Q29B2C,Q29B2D,Q29B2E,Q29B2F,Q29B2G,Q29B3A,Q29B3B,Q29B3C,Q29B3D,Q29B3E,Q29B3F,Q29B4,Q29B5,Q29B6A,Q29B6B,Q29B6C,Q29B6D,Q29B6E,Q29B6F,Q29B7A,Q29B7B,Q29B7C,Q29B7D,Q29B7E,Q29B8,Q29B9A,Q29B9B,Q29B9C,Q29B9D,Q29B10A,Q29B10B,Q29B10C,Q29C1,Q29C1A,Q29C2A,Q29C2B,Q29C2C,Q29C2D,Q29C2E,Q29C2F,Q29C2G,Q29C3_1,Q29C3_2,Q29C3_3,Q29C3_4,Q29C3_5,Q29C3_7,Q29C4A,Q29C4B,Q29C4C,Q29C4D,Q29C4E,Q29C4F,Q29C4G,Q29C4H,Q29D1,Q29D2A,Q29D2B,Q29D3,Q29D4_1,Q29D4_2,Q29D4_3,Q29D4_4,Q29D4_5,Q29D4_6,Q29D4_7,Q29D5,Q29D6,Q29D7,Q29D8,Q29D9,Q29D9A,Q29D10A,Q29D10B,Q29D10C,Q29D11,Q29B2FCD,Q29B4A_1,Q29B4A_2,Q29C3ACD,Q29D4ACD,Q29D6ACD,Q29D8CD1,Q29D8CD2
3,3,2,4,24,2003,3,3,2,1,3,2,5,5,5,5,2,2,3,5,0,1,0,1,1,1,1,5,0,3,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,8,11,4,4,0,0,27,0,99,1,3,9,3,6,4,5,1,2,1,6,1,2,1,1,1,1,5,100,100,100,100,9,9,9,5,0,2,5,1,5,1,2,1,5,1,1,1,5,5,2,1,1,1,1,1,1,2,30,10,0,6,1,5,1,1,1,1,1,2,1,1949,5,5,0,4,5,2,1,0,0,0,4,0,0,0,0
3,3,3,4,17,2003,3,3,3,3,3,1,1,5,5,5,2,2,3,5,8,3,5,2,3,1,1,1,2,2,6,1,1,1,2,1,1,1,1,1,5,0,30,4,75,75,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,4,20,0,0,0,0,24,0,99,1,4,10,3,6,3,6,2,2,1,2,2,1,1,2,2,1,3,100,80,100,80,1,4,4,5,0,2,5,9,1,1,9,1,5,1,1,1,5,5,2,1,1,9,9,9,9,9,12,5,0,7,1,5,1,1,1,1,5,2,1,1969,5,5,0,4,5,5,1,0,0,0,15,2,0,0,0
3,59,3,6,4,2003,2,3,2,2,3,98,9,5,5,5,2,3,3,5,7,1,98,3,3,3,1,1,1,2,2,1,1,1,3,5,0,0,0,0,0,0,0,0,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,98,98,98,98,12,98,1,1,98,98,14,0,3,0,3,11,1,6,3,2,2,2,2,2,2,2,2,1,1,1,3,60,998,998,998,3,4,2,5,0,2,2,3,2,1,2,3,5,1,1,1,5,1,1,1,1,1,1,1,1,1,17,2,0,6,1,5,5,1,1,1,1,1,1,1956,5,1,2,5,4,4,1,0,0,0,0,0,0,0,0
3,60,5,8,20,2003,2,1,3,1,4,1,1,5,5,5,3,3,3,5,3,2,2,3,3,2,1,5,0,3,2,1,1,1,3,1,5,1,5,1,5,0,10,6,75,75,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,8,3,8,0,0,0,19,1,12,6,5,6,3,6,3,4,4,1,2,4,1,1,1,3,3,3,5,90,80,90,90,3,3,2,5,0,4,5,3,1,5,5,1,5,1,1,1,5,1,2,1,2,1,1,1,1,2,18,8,0,7,1,5,1,1,1,1,1,2,1,1961,5,1,4,5,4,2,1,0,0,0,0,0,0,0,0
3,61,2,4,8,2003,4,4,3,3,3,2,5,5,5,5,2,2,2,5,0,0,0,2,2,1,1,5,0,2,6,1,1,5,0,1,5,1,5,1,5,0,30,6,10,100,1,1,5,0,1,5,5,1,5,5,0,30,4,50,100,1,0,0,1,0,0,3,5,17,0,1,0,26,2,26,2,5,8,2,6,1,4,4,1,1,4,1,2,3,3,3,2,3,80,70,15,70,2,4,2,5,0,4,3,2,4,2,4,4,5,1,1,1,5,5,2,2,2,1,2,2,1,2,14,13,8,7,1,5,1,1,1,1,5,2,1,1963,5,1,3,2,3,2,1,0,0,0,1,2,0,0,0
3,76,3,4,14,2003,5,4,5,5,5,7,5,5,5,5,2,1,1,5,1,3,0,3,3,3,2,5,0,2,1,1,1,1,1,1,1,1,1,1,5,0,30,6,100,100,1,1,1,1,1,1,1,1,1,5,0,25,5,100,100,1,0,1,0,0,1,0,15,1,0,0,0,16,1,16,0,1,3,3,6,4,5,5,2,5,2,2,2,2,2,2,1,4,60,50,60,50,3,5,3,5,0,3,4,1,1,1,4,1,5,1,1,1,5,5,1,2,1,1,1,1,1,1,3,0,3,6,5,5,1,1,1,1,1,1,2,1978,5,1,4,4,5,3,1,0,0,0,15,0,0,0,0
3,114,3,4,28,2003,3,3,3,3,3,6,5,5,5,5,9,2,1,5,0,0,0,1,2,2,1,5,0,2,7,1,1,1,2,1,1,5,5,5,1,0,30,3,100,100,1,1,1,1,1,1,1,5,1,5,0,20,2,100,100,1,0,0,0,0,0,17,6,1,1,0,0,25,2,10,2,8,6,1,6,1,1,2,2,2,2,2,1,1,1,1,1,2,95,90,95,80,2,4,1,5,0,3,2,1,1,3,3,1,5,1,1,1,5,5,2,2,2,1,1,1,1,2,5,3,0,7,5,5,1,1,1,1,1,1,1,1964,5,5,0,1,5,1,1,0,0,0,5,0,0,0,0
3,126,5,4,23,2003,1,1,1,2,1,2,1,5,5,5,2,1,1,5,0,0,0,2,2,1,1,1,2,2,6,1,5,0,0,1,1,5,5,5,5,0,20,3,100,90,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,10,21,0,0,0,0,0,21,0,3,0,7,6,2,6,6,4,4,4,2,3,4,1,1,1,1,1,4,95,85,100,85,2,4,3,5,0,1,1,2,2,1,2,1,5,1,1,1,5,5,2,1,1,1,1,1,1,1,8,10,0,7,1,5,5,1,1,1,5,2,1,1963,1,1,4,5,5,5,1,0,0,0,15,2,0,1,0
3,134,3,4,16,2003,3,3,3,2,3,5,5,5,5,5,2,2,2,5,0,1,0,2,2,2,1,5,0,2,3,1,1,1,1,1,5,1,1,5,5,0,15,3,80,100,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,7,1,7,1,0,0,16,2,2,0,5,4,2,6,1,4,4,1,3,1,1,1,1,2,2,1,3,90,90,95,90,2,4,3,5,0,2,3,1,1,3,3,5,5,1,1,1,5,5,1,1,2,1,1,2,1,2,8,8,0,6,1,5,1,1,1,1,1,2,1,1968,5,1,4,4,5,5,3,0,0,0,2,0,0,0,0
3,218,3,4,29,2003,5,1,5,5,1,6,5,5,5,5,1,1,1,1,1,0,0,3,3,3,3,5,0,2,4,1,1,1,1,1,1,1,1,1,5,0,30,2,100,100,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,20,3,0,0,0,0,23,3,7,7,7,8,1,6,5,2,2,1,1,2,2,1,1,1,1,1,4,100,90,100,90,5,5,5,5,0,2,2,2,1,1,1,3,5,1,1,1,5,1,1,1,1,1,1,1,1,1,21,12,0,7,1,5,1,5,1,1,1,2,1,1951,5,1,5,5,5,5,1,0,0,0,0,0,0,0,0
