GENREL02,GENID01,GENSN01,CH_ID68,CH_PN,OCG_ID68,OCG_PN,PCG_ID68,PCG_PN
3,3,2,419,36,0,0,419,176
3,3,3,419,37,0,0,419,30
3,24,2,419,35,0,0,419,31
3,24,3,419,34,0,0,419,31
3,29,3,644,31,644,21,644,170
3,32,3,195,30,195,171,195,170
3,32,4,195,31,195,171,195,170
3,59,3,1060,32,0,0,1060,31
3,60,4,1692,38,0,0,1692,30
3,60,5,1692,39,0,0,1692,30
3,61,2,1692,40,1692,4,1692,31
3,65,5,2191,182,2191,179,2191,7
3,76,3,2073,34,2073,1,2073,31
3,79,2,2073,33,0,0,2073,2
3,88,3,2613,30,2613,181,2613,4
3,88,4,2613,31,2613,181,2613,4
3,91,3,2086,31,2086,172,2086,4
3,91,4,2086,33,2086,172,2086,4
3,96,3,4,39,4,3,4,173
3,105,4,2277,183,2277,5,2277,181
3,105,5,2277,184,2277,5,2277,181
3,114,3,2138,33,2138,178,2138,30
3,115,3,1971,33,1971,4,1971,173
3,125,4,2050,32,2050,4,2050,172
3,126,5,1258,33,1258,4,1258,172
3,134,3,257,40,257,175,257,30
3,136,3,302,36,302,22,302,174
3,136,4,302,37,302,22,302,174
3,138,4,473,35,0,0,473,4
3,139,5,2882,32,2882,172,2882,3
3,152,2,1129,39,1129,201,1129,175
3,152,3,1129,189,1129,201,1129,175
3,154,4,2191,38,2191,173,2191,4
3,163,2,2311,31,2311,174,2311,6
3,171,3,1038,33,1038,30,1038,173
3,178,3,2137,34,0,0,2137,174
3,188,4,1813,32,1813,170,1813,3
3,190,3,14,32,14,173,14,3
3,190,4,14,33,14,173,14,3
3,216,3,2715,30,2715,3,2715,176
3,218,3,593,30,593,171,593,4
3,218,5,593,33,593,171,593,4
3,226,3,2888,30,2888,3,2888,171
3,235,3,250,32,250,177,250,3
3,235,4,250,31,250,177,250,3
3,243,3,114,33,114,3,114,173
3,257,3,10,34,0,0,10,6
3,257,4,10,35,0,0,10,6
3,260,3,14,30,14,4,14,172
3,260,4,14,31,14,4,14,172
3,262,3,84,33,84,172,84,1
3,277,3,350,30,350,170,350,3
3,277,4,350,31,350,170,350,3
3,283,4,624,172,624,174,624,3
3,283,5,624,173,624,174,624,3
3,285,3,4,41,0,0,4,31
3,285,4,4,42,0,0,4,31
3,288,3,2432,41,2432,191,2432,33
3,288,4,2432,44,2432,191,2432,33
3,301,5,2219,33,2219,170,2219,3
3,301,6,2219,34,2219,170,2219,3
3,303,3,3055,3,0,0,3055,2
3,303,4,3055,4,0,0,3055,2
3,309,3,122,174,122,4,122,173
3,309,4,122,36,122,4,122,173
3,318,3,1149,30,1149,4,1149,170
3,323,3,47,34,47,170,47,4
3,323,4,47,36,47,170,47,4
3,333,3,1043,35,0,0,1043,4
3,333,4,1043,36,0,0,1043,4
3,354,4,1184,40,1184,6,1184,171
3,359,3,96,31,96,170,96,3
3,359,4,96,32,96,170,96,3
3,361,3,228,32,228,174,228,5
3,366,3,145,30,145,170,145,3
3,366,4,145,31,145,170,145,3
3,368,4,1303,32,1303,4,1303,173
3,368,5,1303,33,1303,4,1303,173
3,370,4,414,39,0,0,414,3
