CHLDID02,CHLDSN02,PCGID02,PCGSN02,CDSHID02,PCGINST02,PCG68ID02,PCGPN02
3,2,0,0,1978,1,419,176
3,3,3,1,1,1,419,30
24,2,24,1,2,1,419,31
24,3,24,1,2,1,419,31
29,3,29,2,3,1,644,170
32,3,32,2,4,1,195,170
32,4,32,2,4,1,195,170
59,3,59,2,5,1,1060,31
60,4,60,2,6,1,1692,30
60,5,60,2,6,1,1692,30
61,2,61,1,7,1,1692,31
65,5,65,2,8,1,2191,7
76,3,76,2,9,1,2073,31
79,2,79,1,10,1,2073,2
88,3,88,2,11,1,2613,4
88,4,88,2,11,1,2613,4
91,3,91,2,12,1,2086,4
91,4,91,2,12,1,2086,4
96,3,96,2,13,1,4,173
105,4,105,2,14,1,2277,181
105,5,105,2,14,1,2277,181
114,3,114,2,15,1,2138,30
115,3,115,2,16,1,1971,173
125,4,125,2,17,1,2050,172
126,5,126,2,18,1,1258,172
134,3,134,2,19,1,257,30
136,3,136,2,20,1,302,174
136,4,136,2,20,1,302,174
138,4,138,2,21,1,473,4
139,5,139,2,22,1,2882,3
152,2,152,1,23,1,1129,175
152,3,152,1,23,1,1129,175
154,4,154,2,24,1,2191,4
163,2,5365,2,1432,1,2311,6
171,3,171,2,25,1,1038,173
178,3,178,2,26,1,2137,174
188,4,188,2,27,1,1813,3
190,3,190,2,28,1,14,3
190,4,190,2,28,1,14,3
216,3,216,2,29,1,2715,176
218,3,218,2,30,1,593,4
218,5,218,2,30,1,593,4
226,3,226,2,31,1,2888,171
235,3,235,2,32,1,250,3
235,4,235,2,32,1,250,3
243,3,243,2,33,1,114,173
257,3,257,1,34,1,10,6
257,4,257,1,34,1,10,6
260,3,260,2,35,1,14,172
260,4,260,2,35,1,14,172
262,3,262,1,36,1,84,1
277,3,277,2,37,1,350,3
277,4,277,2,37,1,350,3
283,4,283,2,38,1,624,3
283,5,283,2,38,1,624,3
285,3,285,2,39,1,4,31
285,4,285,2,39,1,4,31
288,3,288,2,40,1,2432,33
288,4,288,2,40,1,2432,33
301,5,301,1,41,1,2219,3
301,6,301,1,41,1,2219,3
303,3,303,2,42,1,3055,2
303,4,303,2,42,1,3055,2
309,3,309,2,43,1,122,173
309,4,309,2,43,1,122,173
318,3,318,2,44,1,1149,170
323,3,323,2,45,1,47,4
323,4,323,2,45,1,47,4
333,3,333,1,46,1,1043,4
333,4,333,1,46,1,1043,4
354,4,354,2,47,1,1184,171
359,3,359,2,48,1,96,3
359,4,359,2,48,1,96,3
361,3,361,2,49,1,228,5
366,3,366,2,50,1,145,3
366,4,366,2,50,1,145,3
368,4,368,2,51,1,1303,173
368,5,368,2,51,1,1303,173
370,4,370,1,52,1,414,3
378,3,378,2,53,1,1342,170
385,2,385,1,54,1,2028,30
387,3,387,2,55,1,1048,6
387,4,387,2,55,1,1048,6
391,5,391,2,56,1,2849,3
392,3,392,2,57,1,2323,174
395,3,395,1,58,1,2510,5
395,4,395,1,58,1,2510,5
409,3,409,2,59,1,2464,171
414,4,414,2,60,1,1522,10
414,5,414,2,60,1,1522,10
415,4,415,2,61,1,1522,175
415,5,415,2,61,1,1522,175
419,4,419,2,62,1,321,4
421,2,421,1,63,1,2678,7
430,3,430,2,64,1,2618,4
430,4,430,2,64,1,2618,4
446,3,446,2,65,1,980,3
446,4,446,2,65,1,980,3
447,3,447,2,66,1,1803,3
447,4,447,2,66,1,1803,3
460,3,460,2,67,1,602,178
466,3,466,2,68,1,53,4
472,3,472,2,69,1,1663,7
475,3,475,1,70,1,625,3
478,3,478,2,71,1,343,171
478,4,478,2,71,1,343,171
482,3,482,2,72,1,577,4
484,3,484,2,73,1,1767,180
488,3,488,2,74,1,3109,2
491,3,491,2,75,1,315,170
494,3,494,2,76,1,90,3
494,4,494,2,76,1,90,3
497,2,497,1,77,1,2032,172
500,2,500,1,78,1,1498,4
501,3,501,2,79,1,1498,171
501,4,501,2,79,1,1498,171
503,4,503,2,80,1,1687,170
510,3,510,1,81,1,2707,3
520,5,520,2,82,1,428,170
527,4,527,2,83,1,487,170
533,4,533,2,84,1,2779,170
538,2,387,2,55,1,1048,6
543,4,543,2,85,1,1166,180
547,4,547,2,86,1,548,183
547,5,547,2,86,1,548,183
549,5,549,2,87,1,2164,30
549,6,549,2,87,1,2164,30
558,4,558,1,88,1,2876,3
572,3,572,2,89,1,1315,30
572,5,572,2,89,1,1315,30
580,3,580,2,90,1,2409,3
580,4,580,2,90,1,2409,3
586,3,586,2,91,1,2056,2
588,3,588,2,92,1,91,3
588,4,588,2,92,1,91,3
591,3,591,1,93,1,1154,179
594,3,594,2,94,1,517,5
594,4,594,2,94,1,517,5
596,4,596,2,95,1,1786,182
596,6,596,2,95,1,1786,182
598,2,598,1,96,1,1236,170
601,3,601,2,97,1,172,34
602,3,602,2,98,1,236,3
603,4,603,1,99,1,1221,4
603,5,603,1,99,1,1221,4
604,4,604,2,100,1,819,170
606,4,606,2,101,1,2196,30
606,5,606,2,101,1,2196,30
613,3,613,2,102,1,486,170
615,2,615,1,103,1,1394,33
615,3,615,1,103,1,1394,33
616,2,616,1,104,1,2628,5
616,3,616,1,104,1,2628,5
620,4,620,2,105,1,2771,173
620,5,620,2,105,1,2771,173
621,4,621,2,106,1,2529,175
631,3,631,1,107,1,121,6
631,4,631,1,107,1,121,6
632,2,632,1,108,1,3002,1
657,6,657,2,109,1,2576,3
657,7,657,2,109,1,2576,3
658,2,0,0,1979,1,1503,901
659,4,659,2,110,1,544,170
663,2,663,1,112,1,2707,5
664,2,3421,1,838,1,2707,6
672,3,672,2,113,1,2610,173
673,3,673,2,114,1,1281,173
673,4,673,2,114,1,1281,173
676,3,676,2,115,1,707,171
676,4,676,2,115,1,707,171
680,3,680,2,116,1,374,5
689,2,689,1,117,1,1315,5
689,3,689,1,117,1,1315,5
691,3,691,1,118,1,2774,2
692,3,692,2,119,1,1784,5
692,5,692,2,119,1,1784,5
693,5,693,2,120,1,1663,5
693,7,693,2,120,1,1663,5
696,3,696,1,121,1,2578,30
701,3,701,2,122,1,2607,3
704,3,704,2,123,1,60,32
704,4,704,2,123,1,60,32
705,3,705,2,124,1,2478,4
710,2,710,1,125,1,138,31
710,3,710,1,125,1,138,31
716,3,716,2,126,1,1121,175
717,4,717,2,127,1,351,3
726,3,726,2,128,1,2473,170
726,5,726,2,128,1,2473,170
727,3,727,2,129,1,174,171
727,5,727,2,129,1,174,171
731,3,731,2,130,1,2661,171
731,4,731,2,130,1,2661,171
733,4,733,2,131,1,2628,3
733,6,733,2,131,1,2628,3
734,3,734,1,132,1,2012,170
734,4,734,1,132,1,2012,170
741,5,741,2,133,1,1043,3
741,6,741,2,133,1,1043,3
742,3,742,2,134,1,1127,172
751,4,751,2,135,1,2441,5
751,5,751,2,135,1,2441,5
752,3,752,2,136,1,2441,176
753,4,753,2,137,1,1407,172
772,3,772,1,138,1,351,6
784,3,784,2,140,1,1236,172
789,3,789,2,141,1,117,30
789,4,789,2,141,1,117,30
796,3,796,2,142,1,626,3
801,3,801,2,143,1,582,173
801,4,801,2,143,1,582,173
802,3,802,2,144,1,2490,31
804,3,804,2,145,1,121,173
