OCGHREL,OCGHID01,OCGHSN01,Q26B1,Q26B2,Q26B3,Q26B4,Q26B5,Q26B6A,Q26B6B,Q26B6C,Q26B6D,Q26B6E,Q26B6F,Q26B7,Q26B8,Q26B9,Q26B10A,Q26B10B,Q26B10C,Q26B10D,Q26B10E,Q26B10F,Q26B10G,Q26B10H,Q26B10I,Q26B10J,Q26B11A,Q26B11B,Q26B11C,Q26B11D,Q26B12A,Q26B12B,Q26B12C,Q26B12D,Q26B13A,Q26B13B,Q26B13C,Q26B13D,Q26B13E,Q26B13F,Q26B13G,Q26B13H,Q26B13I,Q26B13J,Q26B13K,Q26B13L,Q26B13M,Q26B13N,Q26B14A,Q26B14B,Q26B14C,Q26B14D,Q26B15A,Q26B15B,Q26B15C,Q26B16A,Q26B16B,Q26B16C,Q26B16D,Q26B16E,Q26B16F,Q26B16G,Q26B16H,Q26B16I,Q26B16J,Q26B16K,Q26B16L,Q26B16M,Q26B16N,Q26B16O,Q26B16P,Q26B16Q,Q26B16R,Q26B16S,Q26B17A,Q26B17B,Q26B17C,Q26B17D,Q26B17E,Q26B18A,Q26B18B,Q26B18C,Q26B19A,Q26B19B,Q26B19C,Q26B19D,Q26B19E,Q26B20,Q26B21,Q26B22,Q26B23,Q26B24,Q26B25,Q26B26,Q26B27,Q26B28,Q26B28CD,Q26B29
2,29,3,1,0,2,2,2,5,5,5,5,5,5,0,0,0,3,3,2,3,2,3,3,2,2,2,2,2,2,2,1,4,3,5,2,2,1,3,2,1,1,3,3,2,2,3,3,3,3,1,2,2,5,5,5,2,2,3,9,2,3,3,4,3,1,4,4,4,2,4,2,4,2,3,2,3,1,2,1,2,3,3,1,3,2,2,3,5,0,0,1,1,40,5,1,0,0,30
2,32,3,7,25,2,2,3,3,4,3,5,5,5,3,0,3,4,4,1,4,1,4,4,1,1,1,1,1,1,1,3,5,4,1,3,3,3,3,2,1,3,3,3,3,2,2,2,3,3,2,2,2,5,5,5,4,3,4,3,2,4,3,4,3,2,2,4,3,2,3,2,4,1,2,2,3,2,1,1,3,3,3,3,2,3,2,2,5,0,0,1,2,75,6,1,0,0,120
2,32,4,7,25,2,2,3,3,4,3,5,5,5,3,0,3,4,4,1,4,1,4,4,1,1,1,1,1,1,1,3,5,4,1,3,3,3,9,9,1,3,3,3,3,2,2,2,3,3,2,2,2,5,5,5,4,3,4,3,2,4,3,4,3,2,2,4,3,2,3,2,4,1,2,2,3,2,1,1,3,3,3,3,2,3,2,2,5,0,0,1,2,75,6,1,0,0,120
2,61,2,7,5,1,3,3,4,3,3,3,4,3,3,0,2,3,3,3,3,2,2,2,3,3,2,3,3,3,3,3,5,1,4,3,2,1,1,2,1,1,3,2,2,2,2,2,3,4,3,4,5,5,5,5,2,2,4,2,2,2,3,2,3,3,3,3,3,2,3,4,4,2,3,3,1,1,2,1,3,2,2,2,3,2,3,3,5,0,0,1,2,30,3,2,5,0,30
2,65,5,7,5,4,3,3,4,5,3,1,4,5,2,3,3,4,4,1,4,1,1,4,4,1,1,1,1,1,1,1,3,2,5,2,3,3,4,1,1,1,2,3,2,2,2,2,2,4,1,5,4,5,1,5,4,2,2,3,4,4,3,3,3,2,2,4,4,4,3,3,4,4,1,4,1,4,4,4,4,4,4,1,1,4,1,1,1,7,4,1,2,62,7,2,2,0,15
2,91,3,3,6,5,2,2,4,5,4,5,5,5,2,2,4,4,4,1,3,1,3,3,2,1,1,2,2,2,2,3,4,5,2,3,3,1,2,2,1,1,3,3,2,3,3,3,3,2,1,2,1,1,1,1,3,2,2,2,4,4,2,4,2,2,2,4,4,4,4,1,4,1,3,3,4,3,1,1,4,4,3,2,1,2,2,1,5,0,0,1,2,46,5,1,0,0,40
2,91,4,3,6,5,2,2,4,5,4,5,5,5,2,2,4,4,4,1,3,1,3,3,2,1,1,2,2,2,2,3,4,5,2,3,3,1,2,2,1,1,3,3,2,3,3,3,3,2,1,2,1,1,1,1,3,2,2,2,4,4,2,4,2,2,2,4,4,4,4,1,4,1,3,3,4,3,1,1,4,4,3,2,1,2,2,1,5,0,0,1,2,46,5,1,0,0,40
2,96,3,1,0,1,3,3,3,4,3,3,4,4,9,9,9,3,3,2,3,2,3,3,2,2,2,3,3,2,2,4,1,5,3,2,3,3,3,2,2,1,3,3,2,3,2,2,3,5,2,2,3,5,1,5,4,4,3,3,1,4,4,4,4,2,3,3,3,3,3,2,3,2,3,3,2,2,2,1,3,3,3,2,2,3,1,1,5,0,0,1,1,40,5,1,0,0,10
2,105,4,0,0,1,1,1,3,5,3,3,5,5,3,0,4,4,4,1,4,1,4,4,1,1,1,1,1,1,1,3,4,5,1,3,3,1,2,2,2,1,3,3,3,2,2,2,3,3,1,1,5,5,5,5,3,3,2,2,3,3,2,3,2,3,3,3,3,3,3,2,3,2,3,1,1,1,1,1,3,3,3,2,2,1,1,1,5,0,0,1,1,53,5,1,0,0,10
2,105,5,0,0,1,1,1,3,5,3,3,5,5,3,0,4,4,4,1,4,1,4,4,1,1,1,1,1,1,1,3,4,5,1,3,3,1,2,2,2,1,3,3,3,2,2,2,3,3,1,1,5,5,5,5,3,3,2,2,3,3,2,3,2,3,3,3,3,3,3,2,3,2,3,1,1,1,1,1,3,3,3,2,2,1,1,1,5,0,0,1,1,53,5,1,0,0,10
