TD02M01,TD02M02,TD02M03,TD02M04,TD02M05,TD02M06,TD02M07,TD02M08,TD02M09,TD02M10,TD02M11,TD02M12,TD02M13,TD02M14,TD02M15,TD02M16
1,96,3,0,35100,37800,9190,2700,2,1,5,10,2,3,1,1
1,96,3,0,37800,40500,9190,2700,2,1,6,10,2,3,1,1
1,96,3,0,40500,43200,9190,2700,1,2,3,10,2,1,1,1
1,96,3,0,72000,75600,9190,3600,1,3,5,12,1,1,1,4
1,96,3,0,75600,77400,9190,1800,1,4,6,10,2,1,2,1
1,96,3,0,77400,79200,9190,1800,1,4,6,10,2,1,2,1
1,96,3,1,34200,36900,9190,2700,2,1,5,10,2,3,1,1
1,96,3,1,36900,39600,9190,2700,2,1,6,10,2,3,1,1
1,96,3,1,63000,68400,9190,5400,1,3,5,13,1,3,1,5
1,96,3,1,68400,72000,9190,3600,1,3,5,14,1,1,1,1
1,96,3,1,72000,79200,9190,7200,1,3,5,6,1,1,1,1
1,1448,4,1,71100,77400,9190,6300,1,3,5,13,1,4,1,5
1,6030,3,0,41400,43200,9190,1800,1,3,6,12,1,2,1,5
1,6030,3,0,59400,61200,9190,1800,1,3,6,12,1,2,1,5
1,6030,3,0,64800,68400,9190,3600,2,1,8,19,8,8,8,8
1,6030,3,0,72000,75600,9190,3600,2,1,8,19,8,8,8,8
1,6030,3,0,75600,77400,9190,1800,9,9,9,99,9,9,9,9
1,6030,3,1,64800,67200,9190,2400,2,1,8,19,8,8,8,8
1,6030,3,1,74400,75600,9190,1200,9,9,9,99,9,9,9,9
1,260,3,0,37800,43200,9190,5400,1,3,5,16,1,1,1,3
1,260,3,0,46800,52200,9190,5400,1,3,5,16,1,1,1,3
1,260,3,0,75600,86400,9190,10800,1,3,6,1,1,1,1,1
1,260,4,0,45000,50400,9190,5400,1,3,5,12,1,1,1,1
1,260,4,0,61200,64800,9190,3600,1,3,5,10,2,1,1,1
1,260,4,1,56700,57600,9190,900,1,3,5,2,1,1,1,4
1,260,4,1,57600,61200,9190,3600,1,3,5,8,1,1,1,1
1,260,4,1,68400,75600,9190,7200,9,9,9,99,9,9,9,9
1,190,3,0,35100,36900,9190,1800,2,1,4,12,2,4,1,2
1,190,3,0,68400,75600,9190,7200,1,4,6,12,2,1,1,2
1,190,3,1,69600,73800,9190,4200,8,8,8,98,8,8,8,8
1,190,4,0,35100,36900,9190,1800,2,8,8,98,8,8,8,8
1,190,4,0,68400,75600,9190,7200,1,4,6,12,2,1,1,2
1,190,4,1,69600,73800,9190,4200,8,8,8,98,8,8,8,8
1,2801,3,0,50400,54000,9190,3600,1,3,6,6,2,1,1,2
