TDFOREL,TDFOID01,TDFOSN01,Q28_WD,Q28_WE,Q28WDDAY,Q28WEDAY,Q28WDIWM,Q28WDIWD,Q28WDIWY,Q28WEIWM,Q28WEIWD,Q28WEIWY,Q28WDSAQ,Q28WESAQ,Q28WDFTF,Q28WEFTF,Q28WDTEL,Q28WETEL,Q28R_CH,Q28R_PCG,Q28WD_A1,Q28WE_A1,Q28WD_A2,Q28WE_A2,Q28WDA3M,Q28WDA3D,Q28WDA3Y,Q28WEA3M,Q28WEA3D,Q28WEA3Y,Q28WDA4M,Q28WDA4D,Q28WDA4Y,Q28WEA4M,Q28WEA4D,Q28WEA4Y,Q28WDA5,Q28WEA5,Q28WDA6,Q28WEA6,Q28WDA6A,Q28WEA6A,Q28WDA6B,Q28WEA6B,Q28WDA6C,Q28WEA6C,Q28WDA6D,Q28WEA6D,Q28WDA6E,Q28WEA6E,Q28WDA7,Q28WEA7,Q28WDA7A,Q28WEA7A,Q28WDA7B,Q28WEA7B,Q28WDA8,Q28WEA8,Q28WDA8A,Q28WEA8A,Q28WDA8B,Q28WEA8B,Q28WDA8C,Q28WEA8C,Q28WDA8D,Q28WEA8D,Q28WDA8E,Q28WEA8E,Q28WDA9,Q28WEA9,Q28WDA9A,Q28WEA9A,Q28WDA9B,Q28WEA9B
2,3,3,1,1,3,1,1,10,2003,1,10,2003,1,1,1,1,1,1,5,1,1,1,3,3,1,7,2003,1,5,2003,1,8,2003,1,8,2003,20,20,5,5,0,0,0,0,0,0,0,0,0,0,1,5,28800,0,46800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,24,2,1,1,6,1,12,5,2002,12,5,2002,5,5,1,1,5,5,1,5,1,1,3,3,11,22,2002,11,24,2002,11,26,2002,11,29,2002,120,60,1,1,28800,36000,50400,57600,5,5,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,24,3,1,1,6,1,12,5,2002,12,5,2002,5,5,1,1,5,5,1,5,3,1,3,3,11,22,2002,11,24,2002,11,23,2002,11,29,2002,120,60,1,1,28800,36000,57600,57600,5,5,0,0,0,0,5,5,0,0,0,0,0,0,0,36000,0,57600,0,0,0,0,0,0,0,0,0,0,0,0
2,29,3,1,1,3,7,11,3,2002,11,3,2002,5,5,1,1,5,5,1,5,3,3,1,4,10,29,2002,10,26,2002,10,29,2002,10,26,2002,30,45,1,1,75600,75600,23400,23400,5,5,0,0,0,0,5,5,0,0,0,0,1,5,28800,0,61200,0,5,9,0,0,0,0,5,5,0,0,0,0
2,32,3,1,1,2,1,11,5,2002,11,5,2002,1,1,1,1,5,5,1,1,2,2,1,2,11,4,2002,11,3,2002,11,4,2002,11,3,2002,20,15,5,5,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,1,5,31500,0,64800,0,5,9,0,0,0,0,5,5,0,0,0,0
2,32,4,1,1,2,1,11,5,2002,11,5,2002,1,1,1,1,5,5,1,1,1,2,2,2,11,4,2002,11,3,2002,11,4,2002,11,3,2002,20,15,5,5,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,1,5,31500,0,64800,0,5,9,0,0,0,0,5,5,0,0,0,0
2,59,3,1,1,3,1,2,24,2003,2,24,2003,1,1,5,5,5,5,5,1,1,1,3,2,2,4,2003,2,9,2003,2,4,2003,2,10,2003,10,12,5,9,0,0,0,0,0,0,0,0,0,0,5,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,60,4,1,1,5,7,3,16,2003,3,16,2003,5,5,5,5,1,1,5,1,1,1,1,1,3,13,2003,3,15,2003,3,16,2003,3,16,2003,15,20,1,1,21600,21600,50400,50400,5,5,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,60,5,1,1,5,7,3,16,2003,3,16,2003,5,5,5,5,1,1,5,1,1,1,1,1,3,13,2003,3,15,2003,3,16,2003,3,16,2003,15,20,1,1,21600,21600,50400,50400,5,5,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,61,2,1,1,4,1,12,27,2002,12,27,2002,1,1,1,1,5,5,5,1,1,1,2,2,12,18,2002,12,15,2002,12,18,2002,12,15,2002,999,999,5,5,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,5,5,0,0,0,0,9,9,0,0,0,0,5,5,0,0,0,0
