ASMREL07,ASMID07,ASMSN07,Q34MONTH,Q34DAY,Q34YEAR,Q34FORM,Q34LANG,Q34A1,Q34A2,Q34A3A,Q34A3B,Q34A3C,Q34A4A,Q34A4B,Q34A4C,Q34BMI,Q34B2,Q34B3,Q34LW1,Q34LW2,Q34LW3,Q34LW4,Q34LW5,Q34LW6,Q34LW7,Q34LW8,Q34LW9,Q34LW10,Q34LW11,Q34LW12,Q34LW13,Q34LW14,Q34LW15,Q34LW16,Q34LW17,Q34LW18,Q34LW19,Q34LW20,Q34LW21,Q34LW22,Q34LW23,Q34LW24,Q34LW25,Q34LW26,Q34LW27,Q34LW28,Q34LW29,Q34LW30,Q34LW31,Q34LW32,Q34LW33,Q34LW34,Q34LW35,Q34LW36,Q34LW37,Q34LW38,Q34LW39,Q34LW40,Q34LW41,Q34LW42,Q34LW43,Q34LW44,Q34LW45,Q34LW46,Q34LW47,Q34LW48,Q34LW49,Q34LW50,Q34LW51,Q34LW52,Q34LW53,Q34LW54,Q34LW55,Q34LW56,Q34LW57,Q34LW58,Q34LWRAW,Q34LWSS,Q34LWPR,Q34LWW,Q34PC1,Q34PC2,Q34PC3,Q34PC4,Q34PC5,Q34PC6,Q34PC7,Q34PC8,Q34PC9,Q34PC10,Q34PC11,Q34PC12,Q34PC13,Q34PC14,Q34PC15,Q34PC16,Q34PC17,Q34PC18,Q34PC19,Q34PC20,Q34PC21,Q34PC22,Q34PC23,Q34PC24,Q34PC25,Q34PC26,Q34PC27,Q34PC28,Q34PC29,Q34PC30,Q34PC31,Q34PC32,Q34PC33,Q34PC34,Q34PC35,Q34PC36,Q34PC37,Q34PC38,Q34PC39,Q34PC40,Q34PC41,Q34PC42,Q34PC43,Q34PCRAW,Q34PCSS,Q34PCPR,Q34PCW,Q34BRSS,Q34BRPR,Q34BRW,Q34AP1,Q34AP2,Q34AP3,Q34AP4,Q34AP5,Q34AP6,Q34AP7,Q34AP8,Q34AP9,Q34AP10,Q34AP11,Q34AP12,Q34AP13,Q34AP14,Q34AP15,Q34AP16,Q34AP17,Q34AP18,Q34AP19,Q34AP20,Q34AP21,Q34AP22,Q34AP23,Q34AP24,Q34AP25,Q34AP26,Q34AP27,Q34AP28,Q34AP29,Q34AP30,Q34AP31,Q34AP32,Q34AP33,Q34AP34,Q34AP35,Q34AP36,Q34AP37,Q34AP38,Q34AP39,Q34AP40,Q34AP41,Q34AP42,Q34AP43,Q34AP44,Q34AP45,Q34AP46,Q34AP47,Q34AP48,Q34AP49,Q34AP50,Q34AP51,Q34AP52,Q34AP53,Q34AP54,Q34AP55,Q34AP56,Q34AP57,Q34AP58,Q34AP59,Q34AP60,Q34APRAW,Q34APSS,Q34APPR,Q34APW,Q34C1A,Q34C1B,Q34C2A,Q34C2B,Q34C3A,Q34C3B,Q34C4A,Q34C4B,Q34C5A,Q34C5B,Q34C6A,Q34C6B,Q34C7A,Q34C7B,Q34C8A,Q34C8B,Q34DSFO,Q34C9A,Q34C9B,Q34C10A,Q34C10B,Q34C11A,Q34C11B,Q34C12A,Q34C12B,Q34C13A,Q34C13B,Q34C14A,Q34C14B,Q34C15A,Q34C15B,Q34DSBA,Q34DSTO,Q34D1,Q34D1A,Q34D2,Q34D2A,Q34D2B,Q34D2C,Q34D2D,Q34D2E,Q34D2F,Q34D2G,Q34D2H,Q34D2I,Q34D3,Q34D3A,Q34D3B,Q34D3C,Q34D3D,Q34D3E,Q34D3F,Q34D3G,Q34D3H,Q34D3I,Q34IWAGE,WTIND07,BMIZ07,HGTZ07,WGTZ07
2,41,3,11,11,2007,1,1,58.200001,81,0,0,0,0,0,0,16.799999,2,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,5,1,1,5,5,5,5,5,5,0,0,0,0,9,45,111,77,514,1,1,1,1,1,1,1,1,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,8,1,1,1,1,1,1,5,8,5,5,1,5,1,5,5,5,5,5,5,30,120,90,518,117,87,516,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,8,5,8,5,8,5,0,0,0,0,0,0,0,0,0,45,142,99,536,1,1,1,1,1,1,5,1,1,1,5,5,0,0,0,0,9,1,1,1,1,1,1,5,5,0,0,0,0,0,0,6,15,1,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,130,2,-.14,.69999999,.2
2,44,2,1,5,2008,1,1,58,100,0,0,0,0,0,0,20.9,2,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,1,5,1,5,1,1,5,1,5,1,8,5,5,5,9,48,113,80,524,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,1,1,1,1,5,1,1,1,8,5,5,5,1,5,8,5,1,8,5,5,5,8,5,0,0,26,99,46,506,107,67,515,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,1,1,5,1,1,8,1,8,5,5,8,1,5,8,5,8,5,1,8,8,8,5,5,5,42,121,92,528,1,1,1,1,1,1,1,5,1,8,1,5,8,5,0,0,99,1,1,1,5,1,1,1,1,5,5,0,0,0,0,7,99,1,3,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,145,2,1.1900001,-.34,.5
2,72,5,10,26,2007,1,1,66,119.5,0,0,0,0,0,0,19.299999,1,9,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,5,1,1,1,5,1,5,5,5,5,5,5,9,48,99,47,524,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,1,1,1,1,1,1,1,1,1,5,1,5,5,1,5,5,5,1,5,9,5,5,5,31,107,67,521,100,50,522,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,5,1,1,5,5,5,5,1,1,5,8,5,1,5,5,5,8,5,5,5,0,0,0,0,0,39,98,45,520,1,1,1,1,1,1,1,1,1,1,5,5,0,0,0,0,10,1,1,1,1,1,1,5,1,1,5,5,5,0,0,8,18,1,3,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,176,2,-.12,-.1,-.059999999
2,74,3,10,31,2007,1,1,66,119,0,0,0,0,0,0,19.200001,2,11,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,1,1,5,5,5,8,1,1,8,9,51,101,53,535,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,8,1,1,1,1,1,1,1,5,8,8,8,8,5,5,1,8,8,1,5,5,5,5,8,28,92,29,512,97,42,524,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,1,5,5,1,1,1,1,5,5,5,1,5,8,1,5,8,5,1,8,8,5,5,5,8,8,0,0,0,0,0,37,90,25,514,1,1,1,1,1,1,5,1,1,1,5,8,0,0,0,0,99,1,1,1,1,5,1,1,8,5,5,0,0,0,0,99,99,5,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,202,2,-.72000003,-1.05,-1.04
2,94,3,11,4,2007,1,1,62.5,109,0,0,0,0,0,0,19.6,1,7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,1,5,5,5,5,5,5,5,5,9,48,109,72,524,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,8,1,1,5,8,1,5,8,8,1,5,1,8,8,8,5,8,8,5,0,0,0,0,0,24,93,31,500,99,48,512,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,1,1,1,1,5,1,5,5,1,1,1,5,8,5,8,5,8,8,5,0,0,0,0,0,0,0,0,0,39,107,68,520,1,1,1,1,1,1,5,5,0,0,0,0,0,0,0,0,6,1,1,5,1,5,1,5,5,0,0,0,0,0,0,4,10,1,3,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,154,2,.49000001,.46000001,.49000001
2,108,4,11,14,2007,1,1,61.5,99.5,0,0,0,0,0,0,18.5,1,12,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,5,1,5,5,5,9,52,104,60,539,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,5,5,5,1,5,5,5,36,116,86,536,112,78,538,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,5,5,5,1,1,1,5,55,133,99,567,1,1,1,1,1,1,1,1,1,1,1,5,1,5,5,5,12,1,1,1,1,1,1,1,1,5,5,0,0,0,0,8,20,1,3,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,212,2,-.91000003,-1.08,-1.33
2,113,2,1,8,2008,1,1,67,165,0,0,0,0,0,0,25.799999,2,10,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,1,1,5,1,5,5,5,5,1,5,5,5,5,9,47,94,33,520,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,1,5,5,5,5,5,5,5,5,0,0,0,0,0,29,96,39,515,94,35,518,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,1,5,5,5,5,5,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,38,94,33,517,1,1,1,1,1,1,1,5,1,1,1,1,5,5,0,0,11,1,1,1,1,5,5,0,0,0,0,0,0,0,0,4,15,1,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,191,3,1.71,-.43000001,1.21
2,117,4,11,15,2007,1,1,63.299999,101,0,0,0,0,0,0,17.700001,1,11,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,5,5,5,5,1,5,5,5,5,5,5,5,5,5,5,5,0,0,0,0,9,37,73,3,487,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,5,1,1,1,5,5,1,1,1,5,1,5,5,5,5,5,5,0,0,0,0,0,0,0,0,24,82,11,500,75,5,494,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,1,5,1,1,1,5,5,1,5,1,5,1,5,1,5,5,5,5,5,1,5,5,5,5,5,5,5,0,0,0,0,0,0,0,0,0,32,81,10,499,1,1,1,1,5,1,1,5,5,5,0,0,0,0,0,0,6,1,5,1,1,5,5,0,0,0,0,0,0,0,0,3,9,5,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,200,2,-1.08,-.31999999,-1.1
2,123,3,10,30,2007,1,1,66.5,148.5,0,0,0,0,0,0,23.6,2,9,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,1,5,1,1,8,8,8,5,5,1,5,8,5,5,5,1,5,5,9,43,89,23,507,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,1,1,1,1,1,1,5,5,1,8,5,8,5,5,5,0,0,0,0,0,0,0,0,26,92,30,506,89,23,506,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,5,5,1,5,5,5,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,89,24,506,1,1,1,1,1,1,5,1,5,1,5,5,0,0,0,0,8,1,1,1,1,5,5,0,0,0,0,0,0,0,0,4,12,5,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,175,2,1.2,1.12,1.51
2,127,3,11,3,2007,1,1,63,188,0,0,0,0,0,0,33.299999,1,10,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,1,1,1,5,1,5,1,1,5,5,5,5,9,50,100,50,531,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,1,1,8,1,5,1,1,1,1,1,5,5,5,1,5,5,5,5,5,32,106,66,524,103,58,528,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,1,1,1,1,1,5,5,1,1,1,1,1,8,5,5,5,1,1,8,8,8,1,5,5,5,5,5,45,109,72,536,1,1,1,1,1,1,1,1,1,1,1,5,5,8,0,0,99,1,1,1,1,5,1,8,1,5,1,8,8,0,0,99,99,1,3,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,190,4,3.29,-.38,2.73
