DEMREL07,DEMID07,DEMSN07,RELPCG07,RELOCG07,SIBIND07,CH07PRWT,CH07WT,PCGRES07,OCGRES07,ASMRES07,CHRES07,TDRES07,CCDRES07,IWER07,SBLNUM07,BIOPR07,BIOGPR07
2,148,3,7,8,5,26.309999,28.836,1,1,1,1,1,0,3004,96,4,1
2,196,3,1,4,1,28.834,32.106998,1,5,1,1,1,1,3004,1,1,2
2,196,4,1,4,1,28.472,32.171001,1,5,1,1,1,1,3004,1,1,2
2,7756,3,4,9,5,17.815001,19.204,1,1,1,1,1,1,3004,0,3,2
2,1411,2,1,0,1,44.492001,0,1,0,5,5,5,5,3031,2,2,2
2,1411,4,1,0,1,43.655998,0,1,0,5,5,5,5,3031,2,2,2
2,904,3,1,4,5,20.993999,24.527,1,1,1,1,1,1,3040,1,1,2
2,2208,2,4,0,1,15.006,17.343,1,0,1,1,1,1,3037,2,3,2
2,2208,3,4,0,1,14.784,16.868999,1,0,1,1,1,1,3037,2,3,2
2,6733,2,1,0,5,2.21,2.401,1,0,1,1,1,1,3023,0,2,0
2,6742,3,1,0,1,8.2589998,9.0030003,1,0,1,1,5,1,3010,2,2,2
2,6742,4,1,0,1,8.2510004,9.1079998,1,0,1,1,1,1,3010,2,2,2
2,2668,3,1,4,1,46.384998,51.127998,1,1,1,1,1,1,3008,1,1,2
2,2668,4,1,4,1,45.209999,48.314999,1,1,1,1,1,1,3008,1,1,2
2,940,3,1,4,1,9.6300001,10.293,1,1,1,1,1,1,3021,2,1,2
2,940,4,1,4,1,9.6300001,10.293,1,1,1,1,1,1,3021,2,1,2
2,7955,4,1,10,5,5.823,6.099,1,1,1,1,1,1,3008,2,2,2
2,293,3,3,6,5,31.872999,34.278999,1,1,1,1,1,1,3008,96,4,0
2,2831,2,1,0,5,1.773,1.887,1,0,1,1,1,1,3034,96,2,2
2,5288,2,1,0,5,5.7059999,6.2069998,1,0,1,1,1,1,3034,1,2,2
2,1214,3,1,4,5,21.320999,22.431,1,1,1,1,1,1,3037,1,1,2
2,2199,3,2,4,5,27.518,29.57,1,1,1,1,1,1,3017,1,3,0
2,732,3,4,2,5,26.964001,28.566,1,1,1,1,1,1,3037,96,3,0
2,751,3,3,6,5,8.0790005,8.7609997,1,5,1,1,5,1,3002,96,4,2
2,1528,3,1,4,5,24.048,27.565001,1,1,1,1,1,0,3041,96,1,2
