GENREL07,GENID07,GENSN07,CH07_ID,CH07_PN,PCG07_ID,PCG07_PN,OCG07_ID,OCG07_PN
4,41,3,2524,30,2524,172,2525,2
4,44,2,323,34,323,173,0,0
4,72,5,5904,48,5904,176,5904,5
4,74,3,6088,34,6088,31,6088,176
4,94,3,2852,50,2852,33,2852,183
4,108,4,1163,42,1163,172,1163,3
4,113,2,941,184,941,3,0,0
4,117,4,96,32,96,3,96,170
4,123,3,250,32,250,3,250,177
4,127,3,5678,37,5678,172,5678,4
4,127,5,5678,39,5678,172,5678,4
4,131,2,1167,42,1167,33,0,0
4,131,3,1167,46,1167,33,0,0
4,132,2,419,37,419,30,0,0
4,134,3,2248,33,2248,172,2248,31
4,134,4,2248,34,2248,172,2248,31
4,142,2,2875,34,2875,7,0,0
4,142,3,2875,35,2875,7,0,0
4,145,4,2311,35,2311,172,0,0
4,148,3,4,39,4,173,4,3
4,150,3,6765,36,6765,5,6765,173
4,161,2,138,32,138,31,0,0
4,161,3,138,33,138,31,0,0
4,171,2,5863,44,5863,33,0,0
4,181,4,50,33,50,171,50,3
4,183,3,6839,37,6839,9,0,0
4,195,3,863,33,863,7,863,171
4,196,3,4,41,4,31,4,195
4,196,4,4,42,4,31,4,195
4,204,2,544,32,544,21,544,31
4,221,3,1917,34,1917,5,1917,174
4,235,2,6127,39,6127,33,6127,3
4,239,2,5464,42,5464,2,0,0
4,244,3,1000,35,1000,4,1000,172
4,253,2,5170,42,5170,7,0,0
4,258,3,931,32,931,30,931,172
4,258,4,931,33,931,30,931,172
4,259,2,5990,180,5990,31,0,0
4,276,2,5171,32,5171,8,0,0
4,287,3,751,39,751,30,751,178
4,293,3,18,189,18,173,18,21
4,298,3,2302,50,2302,173,2302,36
4,315,3,496,31,496,180,496,187
4,316,3,1767,33,1767,180,1767,30
4,318,2,2061,31,2061,2,0,0
4,320,6,6166,63,6166,50,6166,11
4,336,3,3345,3,3345,1,3345,173
4,336,5,3345,5,3345,1,3345,173
4,344,3,6200,39,6200,10,6200,178
4,359,3,941,38,941,186,941,5
4,380,3,941,37,941,31,941,185
4,380,4,941,39,941,31,941,185
4,386,2,6166,62,6166,33,0,0
4,393,2,1168,37,1168,8,0,0
4,397,3,1045,31,1045,30,1045,171
4,399,3,817,32,817,170,817,3
4,445,3,2237,32,2237,172,2237,3
4,450,3,673,33,673,30,673,177
4,464,3,922,36,922,5,922,172
4,466,2,5904,50,5904,37,0,0
4,468,3,750,33,750,173,750,5
4,485,3,356,31,356,3,356,173
4,486,3,495,35,495,33,495,175
4,486,4,495,34,495,33,495,175
4,494,5,6560,181,6560,170,0,0
4,502,2,6166,58,6166,11,6166,180
4,507,3,5612,39,5612,183,0,0
4,507,4,5612,40,5612,183,0,0
4,514,3,50,34,50,5,50,170
4,514,4,50,35,50,5,50,170
4,515,2,419,35,419,31,0,0
4,515,3,419,34,419,31,0,0
4,516,4,2280,41,2280,172,2280,3
4,525,3,1634,32,1634,172,1634,174
4,525,4,1634,33,1634,172,1634,174
4,537,3,1915,31,1915,171,1915,4
4,540,3,2860,31,2860,6,2860,171
4,540,4,2860,32,2860,6,2860,171
4,543,3,5055,42,5055,178,0,0
4,546,3,68,30,68,175,68,3
4,551,2,6396,30,6396,3,6396,2
4,551,3,6396,31,6396,3,6396,2
4,566,3,6030,34,6030,7,6030,177
4,566,5,6030,37,6030,7,6030,177
4,570,2,6820,36,6820,173,0,0
4,613,3,1351,35,1351,174,1351,3
4,613,4,1351,36,1351,174,1351,3
4,614,3,323,32,323,4,323,172
4,614,4,323,33,323,4,323,172
4,616,3,6358,43,6358,170,6358,4
4,622,3,1919,43,1919,175,0,0
4,622,4,1919,45,1919,175,0,0
4,650,3,3147,6,3147,2,0,0
4,653,3,5182,46,5182,33,5182,190
4,653,4,5182,47,5182,33,5182,190
4,660,3,3159,3,3159,2,3159,1
4,660,4,3159,4,3159,2,3159,1
4,676,3,5182,44,5182,182,5182,34
4,676,4,5182,48,5182,182,5182,34
4,683,3,1066,35,1066,30,1066,172
4,691,3,3333,3,3333,2,3333,1
4,709,3,1915,32,1915,5,1915,175
4,712,4,2302,47,2302,11,2302,184
4,712,5,2302,51,2302,11,2302,184
4,732,3,40,39,40,173,40,179
4,745,3,1591,35,1591,172,1591,5
4,745,4,1591,36,1591,172,1591,5
4,751,3,45,32,45,179,45,178
4,758,3,319,32,319,3,319,172
4,759,3,1978,31,1978,171,1978,3
4,773,4,656,35,656,4,656,172
4,774,4,1242,39,1242,177,1242,5
4,777,4,2876,32,2876,30,2876,172
4,778,2,6066,30,6066,5,0,0
4,778,3,6066,31,6066,5,0,0
4,779,3,1841,37,1841,3,1841,172
4,779,4,1841,39,1841,3,1841,172
4,784,3,2302,53,2302,32,2302,202
4,787,3,5663,52,5663,34,0,0
4,788,3,495,36,495,30,495,170
4,793,3,751,37,751,31,751,186
4,793,4,751,38,751,31,751,186
4,797,3,5526,49,5526,10,5526,171
4,808,4,1935,173,1935,4,1935,170
4,811,2,5065,43,5065,36,0,0
4,823,4,2461,32,2461,174,2461,30
4,823,5,2461,33,2461,174,2461,30
4,827,3,2532,32,2532,3,2532,170
4,828,2,5464,41,5464,170,0,0
4,829,3,2260,35,2260,172,0,0
4,841,3,2198,35,2198,173,2198,4
4,841,4,2198,36,2198,173,2198,4
4,845,5,686,36,686,33,686,171
4,856,4,6060,31,6060,3,6060,1
4,860,3,634,32,634,7,634,175
4,863,3,840,44,840,190,840,21
4,867,4,1303,32,1303,4,0,0
4,867,5,1303,33,1303,4,0,0
4,872,3,5965,185,5965,182,5965,189
4,872,4,5965,37,5965,182,5965,189
4,873,2,1098,32,1098,175,0,0
4,873,3,1098,33,1098,175,0,0
4,874,3,2524,31,2524,171,2524,175
4,877,2,6571,177,6571,176,0,0
4,877,3,6571,38,6571,176,0,0
4,884,3,2590,41,2590,30,2590,178
4,884,4,2590,42,2590,30,2590,178
4,892,3,5995,43,5995,1,5995,4
4,893,2,1628,32,1628,4,0,0
4,893,3,1628,33,1628,4,0,0
4,904,3,7,45,7,175,7,31
4,907,3,711,31,711,3,0,0
4,909,3,5182,43,5182,30,5182,185
4,909,4,5182,45,5182,30,5182,185
4,915,3,117,31,117,30,117,171
4,915,4,117,32,117,30,117,171
4,925,3,2176,32,2176,175,2176,4
4,933,5,818,32,818,171,818,4
4,938,3,5663,49,5663,7,5663,197
4,939,4,1908,33,1908,174,1908,176
4,940,3,18,39,18,31,18,183
4,940,4,18,40,18,31,18,183
4,941,4,6736,39,6736,5,6736,181
4,960,2,5771,30,5771,170,0,0
4,970,2,5995,38,5995,6,0,0
4,984,2,5395,35,5395,5,0,0
4,993,2,5904,49,5904,33,0,0
