CHILDID07,CHILDSN07,PCGID07,PCGSN07,CDSHID07,PCGINST07,PCG68ID07,PCGPN07
41,3,41,2,1,1,2524,172
44,2,44,1,2,1,323,173
72,5,72,2,3,1,5904,176
74,3,74,2,4,1,6088,31
94,3,94,2,5,1,2852,33
108,4,108,2,6,1,1163,172
113,2,113,1,7,1,941,3
117,4,117,2,8,1,96,3
123,3,123,2,9,1,250,3
127,3,127,2,10,1,5678,172
127,5,127,2,10,1,5678,172
131,2,131,1,11,1,1167,33
131,3,131,1,11,1,1167,33
132,2,132,1,12,1,419,30
134,3,134,2,13,1,2248,172
134,4,134,2,13,1,2248,172
142,2,142,1,14,1,2875,7
142,3,142,1,14,1,2875,7
145,4,145,2,15,1,2311,172
148,3,148,2,16,1,4,173
150,3,150,2,17,1,6765,5
161,2,161,1,18,1,138,31
161,3,161,1,18,1,138,31
171,2,171,1,19,1,5863,33
181,4,181,2,20,1,50,171
183,3,183,1,21,1,6839,9
195,3,195,2,22,1,863,7
196,3,196,2,23,1,4,31
196,4,196,2,23,1,4,31
204,2,204,1,24,1,544,21
221,3,221,2,25,1,1917,5
235,2,235,1,26,1,6127,33
239,2,239,1,27,1,5464,2
244,3,244,2,28,1,1000,4
253,2,253,1,29,1,5170,7
258,3,258,2,30,1,931,30
258,4,258,2,30,1,931,30
259,2,259,1,31,1,5990,31
276,2,276,1,32,1,5171,8
287,3,287,2,33,1,751,30
293,3,293,2,34,1,18,173
298,3,298,1,35,1,2302,173
315,3,315,1,36,1,496,180
316,3,316,2,37,1,1767,180
318,2,318,1,38,1,2061,2
320,6,1692,1,247,1,6166,50
336,3,336,1,40,1,3345,1
336,5,336,1,40,1,3345,1
344,3,344,2,41,1,6200,10
359,3,359,2,42,1,941,186
380,3,380,2,43,1,941,31
380,4,380,2,43,1,941,31
386,2,386,1,44,1,6166,33
393,2,393,1,45,1,1168,8
397,3,397,2,46,1,1045,30
399,3,399,2,47,1,817,170
445,3,445,2,48,1,2237,172
450,3,450,2,49,1,673,30
464,3,464,2,50,1,922,5
466,2,466,1,51,1,5904,37
468,3,468,2,52,1,750,173
485,3,485,2,53,1,356,3
486,3,486,2,54,1,495,33
486,4,486,2,54,1,495,33
494,5,494,2,55,1,6560,170
502,2,320,2,39,1,6166,11
507,3,507,1,56,1,5612,183
507,4,507,1,56,1,5612,183
514,3,514,2,57,1,50,5
514,4,514,2,57,1,50,5
515,2,515,1,58,1,419,31
515,3,515,1,58,1,419,31
516,4,516,2,59,1,2280,172
525,3,525,2,60,1,1634,172
525,4,525,2,60,1,1634,172
537,3,537,2,61,1,1915,171
540,3,540,2,62,1,2860,6
540,4,540,2,62,1,2860,6
543,3,543,2,63,1,5055,178
546,3,546,2,64,1,68,175
551,2,551,1,65,1,6396,3
551,3,551,1,65,1,6396,3
566,3,566,2,66,1,6030,7
566,5,566,2,66,1,6030,7
570,2,570,1,67,1,6820,173
613,3,613,2,68,1,1351,174
613,4,613,2,68,1,1351,174
614,3,614,2,69,1,323,4
614,4,614,2,69,1,323,4
616,3,616,2,70,1,6358,170
622,3,622,1,71,1,1919,175
622,4,622,1,71,1,1919,175
650,3,650,2,72,1,3147,2
653,3,653,2,73,1,5182,33
653,4,653,2,73,1,5182,33
660,3,660,2,74,1,3159,2
660,4,660,2,74,1,3159,2
676,3,676,2,75,1,5182,182
676,4,676,2,75,1,5182,182
683,3,683,2,76,1,1066,30
691,3,691,2,77,1,3333,2
709,3,709,2,78,1,1915,5
712,4,712,2,79,1,2302,11
