OCHREL07,OCHID07,OCHSN07,Q35A1A,Q35A1B,Q35A1C,Q35A1D,Q35A1E,Q35A1F,Q35A1G,Q35A1H,Q35A1I,Q35A1J,Q35A1K,Q35A1L,Q35A1M,Q35A1N,Q35A2A,Q35A2B,Q35A2C,Q35A2D,Q35A2E,Q35A2F,Q35A2G,Q35A3,Q35A4,Q35A51,Q35A52,Q35A53,Q35A6,Q35A7,Q35A8A,Q35A8A1,Q35A8B,Q35A8B1,Q35A8C,Q35A8C1,Q35A8D,Q35A8D1,Q35A8E,Q35A8E1,Q35A8F,Q35A8F1,Q35A8G,Q35A8G1,Q35A9A,Q35A9B,Q35A9C,Q35A9D,Q35A10,Q35A11,Q35A11A1,Q35A11A2,Q35A11B1,Q35A11B2,Q35A12,Q35A13,Q35A141,Q35A142,Q35A143
1,148,3,1,1,3,1,3,1,1,1,1,1,1,1,1,1,5,3,2,5,3,3,5,1,1,0,0,0,2,3,5,0,1,4,1,6,5,0,1,4,1,4,1,4,4,4,1,3,3,1,3,3,6,3,6,4,1,0,0
1,7756,3,1,2,1,1,1,1,1,1,1,1,2,1,2,1,2,2,2,2,1,3,4,1,1,0,0,0,2,4,1,5,1,5,1,5,1,5,5,0,5,0,1,5,2,1,1,4,1,5,0,0,0,0,6,3,4,0,0
1,904,3,1,1,2,1,2,1,1,2,1,1,1,1,1,1,3,2,2,1,1,2,1,2,1,0,0,0,1,1,5,0,5,0,5,0,5,0,5,0,5,0,5,0,1,1,1,1,2,5,0,0,0,0,2,2,1,0,0
1,2668,3,2,3,2,3,4,3,1,3,3,1,1,3,1,2,3,2,4,3,3,4,5,1,3,3,1,0,5,4,5,0,1,4,5,0,5,0,1,5,1,5,5,0,2,1,2,2,1,5,0,0,0,0,7,7,1,0,0
1,2668,4,2,3,2,2,4,3,1,4,2,1,1,4,1,3,4,4,4,3,3,4,5,1,4,2,3,1,5,4,5,0,5,0,5,0,5,0,1,5,1,5,5,0,2,1,3,2,1,5,0,0,0,0,7,7,1,0,0
1,293,3,3,1,3,1,4,4,2,4,2,2,1,4,1,3,5,4,5,4,4,3,5,1,4,1,97,2,2,3,1,4,1,5,1,5,5,0,5,0,1,5,1,5,1,4,4,3,1,5,0,0,0,0,6,5,10,11,0
1,940,3,1,1,2,1,2,2,1,3,1,2,2,4,2,2,5,4,3,3,4,3,4,1,5,3,0,0,4,4,5,0,1,4,1,4,1,4,1,4,1,4,1,5,1,5,4,4,2,1,5,3,6,3,8,6,95,0,0
1,940,4,1,1,2,1,2,1,1,3,1,2,2,4,2,2,5,3,3,4,3,3,4,1,5,3,0,0,4,4,1,4,1,4,1,4,1,4,1,4,1,4,1,5,1,5,4,4,2,1,5,3,6,3,8,6,95,0,0
1,7955,4,1,1,2,3,4,1,1,3,1,2,3,1,2,2,1,2,3,4,3,4,5,3,1,0,0,0,2,4,1,5,5,0,1,4,5,0,1,5,1,4,5,0,5,1,1,4,2,5,0,0,0,0,6,2,17,0,0
1,1214,3,1,2,2,2,5,3,2,3,2,1,3,3,3,4,5,3,3,5,3,2,5,2,1,0,0,0,2,4,1,2,1,5,1,4,5,0,1,5,1,4,1,4,2,2,2,4,2,1,2,3,9,3,8,6,1,15,0
