TDFREL07,TDFOID07,TDFOSN07,Q38_WD,Q38_WE,Q38WDDAY,Q38WEDAY,Q38WDIWM,Q38WDIWD,Q38WDIWY,Q38WEIWM,Q38WEIWD,Q38WEIWY,Q38WDSAQ,Q38WESAQ,Q38WDFTF,Q38WEFTF,Q38WDTEL,Q38WETEL,Q38WDCH,Q38WECH,Q38WDPCG,Q38WEPCG,Q38WDOCG,Q38WEOCG,Q38WDOTH,Q38WEOTH,Q38WD_A1,Q38WE_A1,Q38WD_A2,Q38WE_A2,Q38WDA3M,Q38WDA3D,Q38WDA3Y,Q38WEA3M,Q38WEA3D,Q38WEA3Y,Q38WDA4M,Q38WDA4D,Q38WDA4Y,Q38WEA4M,Q38WEA4D,Q38WEA4Y
1,148,3,1,1,2,1,10,18,2007,10,18,2007,1,1,5,5,5,5,1,1,5,5,5,5,1,1,1,1,1,1,10,15,2007,10,14,2007,10,15,2007,10,14,2007
1,196,3,1,1,5,1,11,4,2007,11,4,2007,1,1,1,1,5,5,1,1,5,5,5,5,1,1,1,7,1,3,10,30,2007,10,28,2007,10,30,2007,10,30,2007
1,196,4,1,1,5,1,11,4,2007,11,4,2007,1,1,5,1,5,5,1,1,5,5,5,5,1,1,7,7,2,2,10,28,2007,10,30,2007,10,30,2007,10,30,2007
1,7756,3,1,1,6,7,1,18,2008,1,18,2008,1,1,5,5,5,5,1,1,5,5,5,5,1,1,6,6,1,5,1,11,2008,1,12,2008,1,18,2008,1,18,2008
1,904,3,1,1,3,1,10,22,2007,10,25,2007,1,1,1,1,5,5,1,1,1,1,5,5,5,5,3,3,1,1,10,22,2007,10,21,2007,10,22,2007,10,21,2007
1,2208,2,1,1,5,7,12,29,2007,12,29,2007,5,5,1,1,5,5,1,1,5,5,5,5,5,5,1,1,1,1,12,14,2007,12,16,2007,12,14,2007,12,16,2007
1,2208,3,1,1,5,7,12,29,2007,12,29,2007,5,5,1,1,5,5,1,1,5,5,5,5,5,5,1,9,1,9,12,14,2007,99,99,9999,12,14,2007,99,99,9999
1,6742,4,1,1,6,7,12,3,2007,12,3,2007,1,1,1,1,5,5,1,1,5,5,5,5,5,5,1,1,1,3,11,30,2007,12,1,2007,12,3,2007,12,3,2007
1,6733,2,1,1,6,1,3,30,2008,3,30,2008,1,1,1,1,5,5,1,1,1,1,5,5,5,5,3,3,1,1,3,23,2008,3,23,2008,3,29,2008,3,29,2008
1,2668,3,1,1,4,7,10,28,2007,10,28,2007,1,1,1,1,5,5,1,1,5,5,5,5,5,5,1,1,3,1,10,24,2007,10,27,2007,10,24,2007,10,27,2007
